Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,16,11,5,68.8%,5,4,1,80.0%,2022,2026,R32,16,1.06,1.9%,2.5%,72.7%,60.3%,48.7%,57.1%,45.6%,62.2%,47.4%
Roland Garros,4,Clay,9,5,4,55.6%,1,1,0,100.0%,2022,2025,R64,9,1.09,0.7%,1.7%,77.7%,57.0%,48.5%,55.1%,48.8%,62.0%,48.2%
Wimbledon,5,Grass,14,9,5,64.3%,3,1,2,33.3%,2021,2025,R64,14,1.16,2.1%,1.8%,79.5%,60.1%,45.3%,57.1%,49.8%,53.0%,53.2%
US Open,6,Hard,12,6,6,50.0%,2,0,2,0.0%,2019,2025,R128,12,0.97,1.3%,3.4%,70.8%,58.6%,47.8%,55.5%,43.2%,51.1%,48.0%
Miami,4,Hard,9,5,4,55.6%,3,0,3,0.0%,2023,2026,R64,9,1.05,2.0%,1.9%,78.7%,60.0%,45.0%,56.8%,45.4%,51.4%,39.6%
Indian Wells,6,Hard,10,4,6,40.0%,1,0,1,0.0%,2021,2026,R32,10,0.95,1.4%,2.6%,76.5%,55.3%,44.2%,52.7%,44.8%,51.1%,45.7%
Austin,4,Hard,8,4,4,50.0%,3,1,2,33.3%,2023,2026,SF,8,1.02,1.6%,2.5%,75.3%,54.9%,46.2%,52.7%,48.2%,42.3%,50.0%
Hobart,2,Hard,4,2,2,50.0%,0,0,0,-,2025,2026,R32,4,1.01,0.8%,1.7%,79.8%,59.2%,31.9%,53.7%,46.6%,61.5%,64.7%
Osaka,2,Hard,4,2,2,50.0%,0,0,0,-,2024,2025,R32,4,0.95,0.8%,1.2%,82.5%,56.3%,47.7%,54.8%,43.0%,50.0%,54.2%
Beijing,2,Hard,7,5,2,71.4%,1,1,0,100.0%,2024,2025,R32,7,1.01,1.1%,0.8%,79.3%,57.7%,45.0%,55.0%,45.4%,60.3%,53.6%
