Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Rotterdam R32,L vs Tsitsipas,47.4%,29.6%,1.8%,1/0,2.05,40.0%,47.2%,29.4%,0.0%,1.79,70.0%,58.8%,30.0%,5.9%,2.30,0.0%
2025 Paris R32,L vs Vacherot,66.7%,38.9%,3.7%,3/1,2.46,7.2%,73.2%,34.1%,5.4%,2.32,13.2%,70.5%,45.2%,2.3%,2.63,0.0%
2025 Shanghai F,L vs Vacherot,58.3%,38.1%,8.3%,5/1,2.21,12.3%,55.1%,40.7%,2.0%,2.08,18.4%,68.2%,33.3%,22.7%,2.47,0.0%
2025 Shanghai SF,W vs Medvedev,65.4%,45.1%,7.7%,4/2,2.27,12.2%,64.7%,36.4%,11.8%,2.19,18.4%,78.3%,61.1%,0.0%,2.42,0.0%
2025 Wimbledon R32,L vs Majchrzak,73.9%,42.0%,2.5%,1/2,1.98,10.6%,68.8%,45.5%,0.0%,1.85,22.6%,86.8%,36.4%,7.9%,2.07,0.0%
2025 Wimbledon R128,W vs Zverev,59.8%,44.2%,2.1%,2/2,2.25,3.0%,57.6%,41.0%,2.8%,2.30,5.0%,75.0%,53.3%,0.0%,2.19,0.0%
2025 Queens Club QF,L vs Alcaraz,55.0%,33.3%,0.0%,0/0,2.31,44.4%,45.9%,17.6%,0.0%,2.19,55.6%,84.2%,50.0%,0.0%,2.44,33.3%
2025 Roland Garros R128,L vs Sinner,77.5%,33.3%,2.2%,0/2,2.15,3.2%,77.6%,31.1%,0.0%,1.89,6.3%,82.8%,37.5%,6.9%,2.41,0.0%
2025 Geneva R16,L vs Hurkacz,50.0%,44.0%,2.0%,0/1,2.63,27.6%,39.4%,46.2%,3.0%,2.81,43.8%,70.6%,41.7%,0.0%,2.36,7.7%
2025 Acapulco R32,L vs Ruud,64.9%,45.9%,0.0%,0/0,-,38.8%,68.3%,35.7%,0.0%,-,54.3%,75.0%,77.8%,0.0%,-,0.0%
2025 Dallas R32,L vs Fritz,51.2%,31.8%,11.6%,3/2,2.19,4.9%,36.7%,18.2%,3.3%,2.18,8.7%,84.6%,45.5%,30.8%,2.19,0.0%
2024 Canada R16,L vs Hurkacz,71.4%,44.6%,1.1%,0/1,2.58,13.3%,51.1%,34.8%,0.0%,2.80,21.4%,91.3%,50.0%,2.2%,2.21,0.0%
2024 Washington R16,L vs Rublev,44.6%,37.9%,7.7%,3/2,-,13.9%,31.8%,28.6%,9.1%,-,20.0%,75.0%,46.7%,5.0%,-,6.3%
2024 Stuttgart R16,L vs Struff,48.3%,28.6%,12.1%,3/4,-,18.9%,47.1%,31.3%,8.8%,-,35.0%,57.1%,25.0%,19.0%,-,0.0%
2024 Marseille R16,W vs Lehecka,77.0%,43.9%,4.1%,0/3,-,28.0%,72.9%,40.0%,2.1%,-,53.8%,95.7%,50.0%,8.7%,-,0.0%
2023 Queens Club R32,L vs Alcaraz,68.4%,47.7%,9.5%,4/5,1.41,1.4%,62.5%,40.0%,3.1%,1.27,0.0%,80.6%,60.0%,22.6%,1.68,4.0%
2023 Roland Garros R64,L vs Fritz,76.8%,34.2%,4.0%,1/3,2.21,5.9%,68.8%,33.3%,2.1%,2.06,10.2%,87.8%,34.9%,6.1%,2.35,0.0%
2023 Rome R64,L vs Ruud,66.7%,30.0%,4.4%,2/0,-,3.6%,83.9%,23.1%,0.0%,-,6.3%,44.4%,75.0%,22.2%,-,0.0%
2022 Basel QF,L vs Rune,69.6%,25.6%,8.9%,2/3,2.51,38.5%,62.5%,28.0%,7.5%,2.31,60.0%,93.3%,21.4%,13.3%,2.89,0.0%
2022 Gijon QF,W vs Carreno Busta,73.1%,36.8%,4.3%,2/2,2.21,32.6%,67.2%,39.0%,4.9%,2.12,44.8%,87.1%,33.3%,3.2%,2.46,0.0%
Career (26 matches),,63.2%,38.7%,4.6%,51.1%,2.23,15.4%,59.0%,35.1%,3.6%,2.16,24.8%,78.5%,44.2%,7.1%,2.33,1.8%
