Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Rotterdam R32,L vs Tsitsipas,33.3%,50.0%,54.3%,45.7%,45.9%,73.0%,75.0%,65.9%,35.3%,45.0%,50.0%,16.7%,16.7%,26.7%,25
2025 Paris R32,L vs Vacherot,31.2%,41.3%,48.6%,39.7%,40.0%,53.8%,59.0%,54.3%,84.6%,46.2%,42.9%,20.5%,25.6%,35.5%,82
2025 Shanghai F,L vs Vacherot,33.7%,44.9%,45.6%,41.1%,39.7%,49.2%,47.4%,50.2%,52.9%,37.9%,50.0%,20.8%,37.5%,42.1%,37
2025 Shanghai SF,W vs Medvedev,25.2%,45.9%,53.2%,36.5%,30.7%,56.0%,53.8%,47.3%,48.5%,40.5%,55.6%,16.7%,30.0%,52.0%,35
2025 Wimbledon R32,L vs Majchrzak,32.7%,44.2%,50.0%,40.9%,48.5%,63.6%,55.9%,62.4%,53.1%,41.2%,100.0%,12.2%,19.5%,44.4%,-1
2025 Wimbledon R128,W vs Zverev,40.2%,55.2%,59.4%,47.8%,50.8%,65.3%,57.4%,61.5%,48.2%,41.2%,60.0%,14.9%,31.9%,62.5%,12
2025 Queens Club QF,L vs Alcaraz,57.4%,63.0%,38.9%,60.4%,72.7%,78.8%,55.6%,77.6%,43.8%,58.8%,-,43.8%,50.0%,22.2%,248
2025 Roland Garros R128,L vs Sinner,27.3%,40.9%,45.2%,35.7%,39.6%,58.5%,50.0%,53.6%,42.3%,44.4%,0.0%,9.1%,15.2%,40.0%,-24
2025 Geneva R16,L vs Hurkacz,29.8%,42.6%,43.3%,36.4%,39.3%,57.1%,58.8%,50.4%,40.0%,38.5%,0.0%,18.8%,25.0%,23.1%,56
2025 Acapulco R32,L vs Ruud,23.5%,42.6%,40.0%,32.5%,28.0%,50.0%,38.9%,40.2%,62.5%,42.3%,40.0%,12.5%,25.0%,42.9%,10
2025 Dallas R32,L vs Fritz,25.9%,43.1%,42.9%,34.8%,35.1%,56.8%,58.3%,49.2%,44.4%,36.8%,25.0%,10.0%,20.0%,22.2%,-13
2024 Canada R16,L vs Hurkacz,34.6%,46.2%,55.6%,39.9%,41.7%,56.3%,64.3%,50.2%,61.9%,25.9%,0.0%,29.2%,37.5%,41.2%,138
2024 Washington R16,L vs Rublev,47.3%,56.8%,41.7%,51.6%,55.6%,64.4%,40.0%,62.7%,39.1%,45.5%,0.0%,38.5%,50.0%,43.8%,78
2024 Stuttgart R16,L vs Struff,42.9%,51.4%,45.9%,46.4%,54.5%,65.9%,45.0%,60.2%,37.5%,46.4%,50.0%,26.1%,30.4%,47.1%,96
2024 Marseille R16,W vs Lehecka,34.2%,42.1%,48.0%,43.7%,44.7%,57.4%,65.4%,60.0%,47.1%,33.3%,0.0%,17.2%,17.2%,29.2%,-79
2023 Queens Club R32,L vs Alcaraz,33.0%,56.0%,46.6%,42.8%,36.8%,61.8%,50.0%,50.9%,58.8%,42.9%,40.0%,24.2%,42.4%,40.0%,-79
2023 Roland Garros R64,L vs Fritz,20.4%,37.2%,57.6%,30.0%,30.0%,54.3%,63.3%,45.6%,57.6%,45.9%,28.6%,5.3%,10.5%,50.0%,-64
2023 Rome R64,L vs Ruud,20.0%,40.0%,39.3%,32.0%,23.8%,52.4%,56.3%,43.8%,50.0%,55.6%,50.0%,14.3%,21.4%,16.7%,-79
2022 Basel QF,L vs Rune,29.3%,43.1%,47.5%,40.3%,38.1%,57.1%,61.5%,53.3%,54.5%,65.0%,100.0%,6.7%,6.7%,21.4%,-49
2022 Gijon QF,W vs Carreno Busta,22.6%,38.7%,55.3%,36.0%,26.6%,47.9%,58.0%,44.3%,45.7%,43.8%,60.0%,10.7%,10.7%,48.0%,-8
Career (26 matches),,32.8%,46.5%,49.7%,41.0%,41.7%,58.4%,55.6%,54.2%,49.3%,41.2%,42.4%,17.4%,26.3%,41.0%,52
