Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R64,L vs Muchova,38.8%,49.5%,36.2%,45.0%,58.3%,48.5%,39.3%,37.5%,33.3%,34.2%,42.1%,20.0%,66.7%,35.0%,0.0%,36
2025 US Open R128,L vs Andreeva,12.5%,25.0%,32.4%,13.8%,34.5%,36.0%,55.6%,63.6%,66.7%,14.3%,14.3%,25.0%,60.0%,11.1%,0.0%,2
2025 Bogota R32,L vs Jovic,28.3%,38.3%,27.8%,43.8%,53.1%,16.7%,40.0%,17.6%,50.0%,14.3%,28.6%,38.9%,66.7%,58.3%,40.0%,5
2025 Indian Wells R64,L vs Shnaider,15.8%,15.8%,28.6%,29.4%,29.4%,33.3%,50.0%,33.3%,0.0%,5.9%,5.9%,25.0%,80.0%,0.0%,0.0%,-64
2025 Indian Wells R128,W vs Kalinskaya,23.8%,44.4%,53.3%,30.8%,51.3%,55.6%,58.8%,27.3%,33.3%,14.3%,38.1%,50.0%,81.8%,50.0%,100.0%,25
2025 Dubai R64,W vs Wang,40.4%,59.6%,56.7%,41.2%,58.8%,55.0%,56.3%,50.0%,0.0%,47.4%,73.7%,60.0%,88.9%,50.0%,50.0%,106
2025 Doha R32,L vs Kenin,26.0%,34.6%,43.5%,35.1%,49.1%,51.4%,59.1%,34.3%,37.5%,21.9%,25.0%,32.0%,84.2%,15.4%,0.0%,53
2025 Doha R64,W vs Shnaider,35.4%,52.3%,57.1%,43.2%,59.5%,57.1%,58.8%,35.0%,0.0%,33.3%,57.1%,57.1%,75.0%,33.3%,0.0%,169
2025 Doha Q2,W vs Kudermetova,42.4%,49.2%,53.8%,47.4%,55.3%,55.0%,47.4%,42.1%,100.0%,53.8%,61.5%,50.0%,71.4%,16.7%,0.0%,265
2025 Cluj Napoca R32,L vs Danilovic,27.3%,41.8%,35.5%,36.0%,52.0%,31.3%,77.8%,31.3%,50.0%,28.6%,47.6%,40.0%,69.2%,25.0%,0.0%,111
2025 Auckland R16,W vs Minnen,32.2%,47.5%,64.7%,45.0%,62.5%,63.6%,50.0%,29.2%,50.0%,7.7%,23.1%,66.7%,80.0%,12.5%,-,-58
2024 Auckland R32,W vs Anisimova,31.3%,36.5%,41.8%,38.2%,47.3%,47.1%,52.0%,43.3%,30.0%,30.0%,30.0%,33.3%,81.3%,28.6%,0.0%,134
2024 Wimbledon R128,L vs Wozniacki,12.5%,15.0%,32.1%,13.3%,20.0%,46.2%,57.1%,25.0%,100.0%,16.7%,16.7%,20.0%,100.0%,0.0%,0.0%,19
2024 Roland Garros Q1,W vs Leonard,23.2%,41.5%,50.9%,25.6%,48.8%,46.9%,57.9%,54.2%,50.0%,27.6%,44.8%,57.1%,60.0%,35.7%,25.0%,117
2023 Roland Garros R128,L vs Vondrousova,24.1%,32.8%,32.4%,34.4%,43.8%,33.3%,61.5%,15.8%,16.7%,18.8%,31.3%,30.8%,72.7%,20.0%,50.0%,14
2023 Madrid R64,W vs Azarenka,49.2%,57.6%,57.1%,60.0%,73.3%,58.3%,50.0%,27.8%,100.0%,55.0%,60.0%,55.6%,77.8%,9.1%,0.0%,270
2023 Indian Wells R128,L vs Kalinskaya,10.5%,18.4%,29.6%,19.0%,23.8%,17.6%,46.2%,50.0%,33.3%,0.0%,20.0%,50.0%,66.7%,0.0%,0.0%,-119
2023 Merida R16,L vs Peterson,32.7%,41.8%,34.4%,42.9%,53.6%,43.8%,41.7%,31.3%,0.0%,27.3%,36.4%,25.0%,91.7%,0.0%,0.0%,119
2023 Lyon F,W vs Garcia,48.2%,57.8%,54.1%,63.0%,71.7%,58.8%,64.7%,48.3%,50.0%,35.5%,48.4%,50.0%,78.6%,29.4%,50.0%,92
2023 Lyon QF,W vs Kovinic,32.3%,46.8%,56.8%,41.2%,61.8%,55.0%,46.7%,36.8%,50.0%,26.1%,34.8%,58.8%,100.0%,35.7%,-,111
Last 52 Weeks (3 matches),,29.9%,40.8%,32.8%,37.2%,51.2%,36.8%,44.3%,36.7%,46.2%,24.7%,32.9%,27.3%,65.6%,36.6%,18.2%,111
Career (25 matches),,30.3%,41.8%,44.2%,37.8%,52.1%,46.3%,51.6%,35.9%,34.2%,27.6%,38.6%,41.1%,75.0%,24.8%,19.6%,116
