Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,10,5,5,50.0%,2,2,0,100.0%,2022,2026,R32,10,0.94,10.7%,10.4%,56.1%,67.0%,42.1%,56.1%,41.1%,50.6%,39.5%
Roland Garros,4,Clay,6,2,4,33.3%,2,2,0,100.0%,2022,2025,R64,6,0.84,6.9%,11.3%,56.8%,66.0%,41.5%,55.4%,37.4%,46.9%,41.7%
Wimbledon,4,Grass,8,4,4,50.0%,0,0,0,-,2022,2025,R64,8,0.98,10.4%,11.6%,51.4%,67.9%,42.2%,55.4%,43.6%,41.5%,47.9%
US Open,5,Hard,6,1,5,16.7%,0,0,0,-,2021,2025,R128,6,0.82,7.7%,12.7%,53.6%,69.6%,33.0%,52.6%,38.8%,46.3%,43.9%
Miami,5,Hard,9,4,5,44.4%,3,2,1,66.7%,2022,2026,R32,9,0.91,9.0%,7.9%,56.9%,67.6%,42.9%,56.9%,39.1%,54.8%,36.5%
Indian Wells,6,Hard,9,3,6,33.3%,2,1,1,50.0%,2021,2026,R64,9,0.88,5.3%,10.0%,52.7%,61.6%,44.0%,53.3%,41.0%,52.0%,35.3%
Austin,3,Hard,3,0,3,0.0%,0,0,0,-,2023,2026,R32,3,0.88,7.3%,8.6%,56.0%,66.9%,44.1%,56.9%,38.0%,48.0%,26.9%
Dubai,3,Hard,6,3,3,50.0%,2,0,2,0.0%,2024,2026,R32,6,0.93,12.1%,11.3%,56.3%,74.1%,41.4%,59.8%,37.3%,54.1%,51.6%
Doha,3,Hard,9,6,3,66.7%,4,2,2,50.0%,2024,2026,R32,9,1.14,12.7%,9.1%,60.1%,73.5%,43.5%,61.6%,43.7%,58.7%,35.6%
Ostrava,2,Hard,8,6,2,75.0%,4,3,1,75.0%,2022,2026,QF,8,1.12,12.4%,9.9%,59.8%,75.8%,45.1%,63.4%,40.8%,55.3%,45.8%
