Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,4,7160,,
2021,668,38,,,,,,,,,,,,
2020,447,82,,,,,,,,,62,1565,,
2019,353,108,309,1431,304,1382,223,1461,,,71,1094,95,1616
2018,220,225,294,1413,290,1369,220,1467,249,1314,54,1441,76,1654
2017,190,267,197,1545,188,1495,146,1546,192,1433,111,774,,
2016,186,306,236,1492,222,1451,205,1469,184,1449,119,646,,
2015,283,181,291,1421,251,1411,271,1389,,,187,380,,
2014,327,145,347,1322,321,1303,308,1325,,,286,231,,
2013,446,85,382,1194,351,1255,361,1175,,,203,339,,
2012,389,104,,,,,,,,,394,150,,
2011,648,30,,,,,,,,,637,66,,
2010,1052,5,,,,,,,,,873,30,,
2009,461,71,,,,,,,,,615,67,,
2008,1554,2,,,,,,,,,,,,
2007,1479,1,,,,,,,,,1330,6,,
