Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,1,Hard,1,0,1,0.0%,0,0,0,-,2020,2020,Q1,1,0.47,0.0%,16.7%,64.3%,40.7%,13.3%,31.0%,32.7%,50.0%,33.3%
Roland Garros,1,Clay,1,0,1,0.0%,0,0,0,-,2020,2020,Q1,1,0.92,0.0%,3.7%,71.3%,53.2%,48.4%,51.9%,44.2%,46.2%,41.7%
Wimbledon,1,Grass,1,0,1,0.0%,0,0,0,-,2022,2022,Q1,1,0.98,0.0%,6.1%,66.7%,54.5%,45.5%,51.5%,47.7%,60.0%,46.2%
US Open,1,Hard,1,0,1,0.0%,0,0,0,-,2015,2015,Q1,0,,,,,,,,,,
Fed Cup,4,,10,5,5,50.0%,3,1,2,33.3%,2016,2020,,8,0.95,1.4%,7.6%,66.9%,57.4%,45.5%,53.5%,44.0%,55.3%,43.5%
Florianopolis 125,2,Clay,3,1,2,33.3%,0,0,0,-,2023,2025,R16,3,0.75,0.0%,5.4%,70.1%,53.0%,28.0%,45.5%,40.9%,44.4%,25.9%
Palermo,2,Clay,5,3,2,60.0%,2,1,1,50.0%,2019,2022,R16,5,1.00,0.5%,7.0%,64.8%,60.7%,47.7%,56.1%,43.9%,45.2%,47.8%
Florianopolis,3,Hard,5,2,3,40.0%,2,2,0,100.0%,2014,2016,QF,5,0.88,0.3%,8.8%,74.6%,50.6%,40.5%,48.0%,45.9%,46.7%,47.2%
Bogota,2,Clay,3,1,2,33.3%,0,0,0,-,2015,2016,Q2,2,1.07,2.8%,13.9%,59.3%,68.8%,34.1%,54.6%,48.5%,70.6%,43.8%
Rio de Janeiro,3,Clay,5,2,3,40.0%,2,0,2,0.0%,2014,2016,R16,5,0.98,0.3%,3.2%,72.2%,50.9%,41.9%,48.4%,50.4%,43.6%,57.4%
