Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,93,47,46,50.5%,110-123,47.2%,1098-1193,47.9%,28-18,60.9%,90,76.0%,19.3%,7.1%,4.2%,54.8%,71.2%,50.0%,61.6%,34.9%,48.5%,0.91
Clay,47,28,19,59.6%,65-52,55.6%,605-543,52.7%,7-14,33.3%,47,77.8%,28.5%,4.8%,3.7%,56.9%,68.4%,52.7%,61.6%,40.8%,51.2%,1.06
Grass,16,9,7,56.3%,27-21,56.3%,265-250,51.5%,9-7,56.3%,16,86.4%,16.1%,7.7%,3.2%,57.4%,74.1%,56.5%,66.6%,33.2%,50.3%,0.99
Grand Slams,24,14,10,58.3%,48-42,53.3%,451-433,51.0%,6-8,42.9%,24,78.9%,23.3%,6.2%,3.7%,54.6%,69.3%,53.9%,62.3%,37.6%,50.2%,1.00
Masters,35,15,20,42.9%,35-48,42.2%,382-422,47.5%,4-5,44.4%,35,76.8%,18.9%,6.8%,4.4%,55.2%,71.1%,51.5%,62.3%,35.3%,49.1%,0.94
Other Tours,89,50,39,56.2%,109-98,52.7%,1049-1046,50.1%,30-25,54.5%,89,77.9%,22.2%,6.5%,3.9%,56.3%,71.2%,50.9%,62.3%,36.7%,49.7%,0.98
Best of 5,27,15,12,55.6%,49-45,52.1%,464-448,50.9%,6-8,42.9%,27,78.9%,23.1%,6.2%,3.7%,54.5%,69.6%,53.1%,62.1%,37.2%,49.9%,0.98
Best of 3,129,69,60,53.5%,153-151,50.3%,1504-1538,49.4%,38-31,55.1%,126,77.6%,21.0%,6.6%,4.0%,56.1%,71.1%,51.1%,62.3%,36.2%,49.5%,0.96
Finals,4,3,1,75.0%,7-2,77.8%,45-40,52.9%,1-0,100.0%,4,78.6%,26.2%,7.3%,3.8%,57.8%,69.5%,50.0%,61.2%,38.6%,50.4%,1.00
Semi-finals,6,4,2,66.7%,9-7,56.3%,80-75,51.6%,1-2,33.3%,6,80.5%,22.7%,8.4%,3.9%,57.2%,71.9%,50.5%,62.8%,34.9%,49.3%,0.94
Quarter-finals,15,6,9,40.0%,15-21,41.7%,172-196,46.7%,6-4,60.0%,15,78.0%,15.5%,7.6%,4.6%,56.1%,72.1%,49.5%,62.2%,32.6%,47.8%,0.86
vs Righties,131,70,61,53.4%,169-165,50.6%,1643-1659,49.8%,35-32,52.2%,128,77.8%,21.5%,6.3%,3.9%,55.8%,70.0%,51.7%,61.9%,36.5%,49.4%,0.96
vs Lefties,24,14,10,58.3%,32-29,52.5%,315-312,50.2%,9-7,56.3%,24,79.9%,21.4%,7.9%,3.8%,56.0%,75.0%,51.7%,64.8%,36.1%,50.5%,1.03
vs Top 10,17,1,16,5.9%,5-36,12.2%,154-243,38.8%,1-8,11.1%,17,68.0%,11.0%,5.0%,2.9%,57.5%,65.3%,46.9%,57.5%,30.6%,44.6%,0.72
