Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,28,9,19,32.1%,29-46,38.7%,344-387,47.1%,3-7,30.0%,28,77.6%,18.1%,6.7%,2.9%,62.5%,69.1%,50.9%,62.3%,35.4%,48.8%,0.94
Clay,3,1,2,33.3%,1-4,20.0%,18-27,40.0%,0-0,-,3,72.0%,19.2%,3.5%,1.4%,65.2%,65.2%,57.1%,62.4%,35.5%,48.3%,0.94
Grass,5,1,4,20.0%,3-9,25.0%,46-69,40.0%,1-1,50.0%,5,63.6%,17.2%,4.0%,6.6%,61.6%,63.7%,47.0%,57.3%,31.7%,44.5%,0.74
Grand Slams,8,3,5,37.5%,13-17,43.3%,139-151,47.9%,1-2,33.3%,8,76.4%,20.3%,6.3%,2.5%,61.9%,67.9%,52.0%,61.8%,36.3%,49.1%,0.95
Masters,5,2,3,40.0%,4-7,36.4%,44-53,45.4%,0-0,-,5,72.9%,18.4%,4.2%,2.6%,59.7%,68.4%,47.6%,60.1%,35.4%,48.0%,0.89
Other Tours,23,6,17,26.1%,16-35,31.4%,225-279,44.6%,3-6,33.3%,23,75.5%,16.7%,6.6%,3.9%,63.4%,68.4%,50.5%,61.9%,34.2%,47.8%,0.90
Best of 5,8,3,5,37.5%,13-17,43.3%,139-151,47.9%,1-2,33.3%,8,76.4%,20.3%,6.3%,2.5%,61.9%,67.9%,52.0%,61.8%,36.3%,49.1%,0.95
Best of 3,28,8,20,28.6%,20-42,32.3%,269-332,44.8%,3-6,33.3%,28,75.1%,17.0%,6.2%,3.6%,62.8%,68.4%,50.0%,61.6%,34.4%,47.8%,0.89
vs Righties,34,11,23,32.4%,32-54,37.2%,380-448,45.9%,4-7,36.4%,34,75.4%,18.4%,6.0%,3.3%,62.5%,68.0%,50.8%,61.6%,34.9%,48.2%,0.91
vs Lefties,2,0,2,0.0%,1-5,16.7%,28-35,44.4%,0-1,0.0%,2,77.4%,12.9%,8.5%,2.5%,62.7%,70.6%,49.3%,62.7%,36.2%,49.1%,0.97
vs Top 10,1,0,1,0.0%,0-3,0.0%,7-18,28.0%,0-0,-,1,50.0%,7.7%,1.7%,1.7%,69.2%,56.8%,36.1%,50.4%,21.5%,40.1%,0.43
