Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,5,2,3,40.0%,6-6,50.0%,62-55,53.0%,0-2,0.0%,5,86.0%,22.4%,2.4%,2.1%,66.2%,72.5%,50.0%,64.9%,36.5%,50.7%,1.04,QF (San Diego)
2025,36,21,15,58.3%,48-40,54.5%,450-412,52.2%,8-10,44.4%,36,79.4%,26.0%,6.4%,3.2%,65.8%,70.2%,49.5%,63.1%,39.7%,51.1%,1.08,W (Knoxville)
2024,45,25,20,55.6%,56-45,55.4%,517-481,51.8%,11-7,61.1%,45,77.8%,25.9%,6.3%,3.1%,61.6%,70.4%,52.5%,63.5%,39.2%,51.1%,1.08,W (2x)
2023,36,15,21,41.7%,34-47,42.0%,371-415,47.2%,5-8,38.5%,36,74.7%,20.7%,6.2%,2.9%,62.3%,68.8%,49.6%,61.6%,36.6%,48.9%,0.95,SF (Monterrey)
2022,26,10,16,38.5%,26-34,43.3%,308-311,49.8%,5-10,33.3%,26,76.8%,24.2%,5.2%,3.2%,61.8%,68.8%,50.2%,61.7%,37.3%,49.5%,0.97,SF (Traralgon)
2021,29,17,12,58.6%,38-29,56.7%,335-299,52.8%,5-4,55.6%,29,83.0%,22.9%,8.1%,3.1%,63.0%,73.1%,52.1%,65.4%,37.9%,51.4%,1.09,W (2x)
2020,22,14,8,63.6%,31-24,56.4%,267-255,51.1%,4-4,50.0%,22,77.1%,25.0%,6.5%,4.3%,60.6%,70.8%,49.8%,62.5%,38.7%,50.6%,1.03,SF (3x)
2019,41,20,21,48.8%,48-51,48.5%,493-502,49.5%,10-14,41.7%,40,78.3%,21.8%,7.4%,3.7%,59.2%,70.5%,50.4%,62.3%,37.2%,49.9%,0.99,W (Dallas)
2018,40,14,26,35.0%,42-59,41.6%,457-499,47.8%,7-5,58.3%,40,73.5%,22.7%,4.5%,3.6%,61.5%,66.8%,50.3%,60.4%,37.8%,49.0%,0.95,SF (Mestre)
2017,41,19,22,46.3%,47-50,48.5%,453-473,48.9%,4-9,30.8%,41,74.3%,24.2%,4.9%,3.9%,59.9%,67.3%,49.7%,60.2%,39.2%,49.6%,0.98,F (Launceston)
2016,47,23,24,48.9%,52-56,48.1%,498-531,48.4%,7-5,58.3%,47,74.4%,23.2%,6.3%,3.6%,60.8%,69.4%,47.9%,60.9%,38.8%,49.7%,0.99,F (Binghamton)
2015,42,20,22,47.6%,48-50,49.0%,462-465,49.8%,6-6,50.0%,42,76.3%,24.0%,6.2%,4.1%,60.2%,70.1%,48.5%,61.5%,38.9%,50.2%,1.01,SF (Lexington)
2014,8,1,7,12.5%,4-15,21.1%,69-112,38.1%,2-1,66.7%,8,67.4%,9.9%,2.7%,5.3%,62.6%,63.6%,47.1%,57.4%,34.8%,45.9%,0.82,R16 (Tallahassee)
2013,10,3,7,30.0%,11-15,42.3%,106-134,44.2%,0-1,0.0%,10,67.8%,21.5%,4.0%,3.7%,61.3%,62.8%,50.6%,58.1%,36.7%,47.9%,0.88,R16 (3x)
2012,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,62.5%,0.0%,6.3%,6.3%,52.1%,64.0%,43.5%,54.2%,24.0%,38.8%,0.52,R32 (Binghamton)
Career,429,204,225,47.6%,491-523,48.4%,4853-4956,49.5%,74-86,46.3%,428,76.4%,23.3%,6.0%,3.6%,61.5%,69.3%,49.9%,61.8%,38.2%,49.9%,1.00,
