Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,6,1,5,16.7%,4,2,2,50.0%,2020,2026,R128,6,0.81,8.5%,2.8%,66.2%,71.3%,50.9%,64.4%,28.8%,71.9%,41.7%
Roland Garros,6,Clay,12,6,6,50.0%,7,2,5,28.6%,2020,2025,R32,12,1.09,5.2%,4.4%,64.9%,68.7%,53.0%,63.2%,40.2%,61.9%,44.1%
Wimbledon,5,Grass,9,4,5,44.4%,4,4,0,100.0%,2021,2025,R64,9,0.95,10.0%,4.8%,63.6%,70.5%,53.1%,64.2%,34.1%,60.6%,27.4%
US Open,4,Hard,5,1,4,20.0%,5,1,4,20.0%,2020,2025,R128,5,0.72,7.9%,3.8%,57.1%,69.2%,51.1%,61.4%,27.6%,59.0%,33.3%
Olympics,1,,1,0,1,0.0%,1,0,1,0.0%,2024,2024,R64,1,0.69,4.5%,4.5%,55.2%,67.6%,50.0%,59.7%,27.9%,50.0%,50.0%
Davis Cup,4,,5,1,4,20.0%,1,0,1,0.0%,2020,2025,,2,0.75,4.9%,4.3%,64.6%,66.0%,41.4%,57.3%,32.0%,72.0%,20.0%
Buenos Aires,5,Clay,11,5,6,45.5%,5,2,3,40.0%,2021,2026,QF,11,0.95,6.1%,3.3%,63.4%,68.7%,54.2%,63.4%,34.9%,69.4%,34.5%
Kitzbuhel,5,Clay,10,5,5,50.0%,4,1,3,25.0%,2018,2025,QF,10,0.98,5.4%,3.3%,63.7%,71.3%,48.5%,63.0%,36.3%,62.3%,36.2%
Rome Masters,2,Clay,6,4,2,66.7%,1,1,0,100.0%,2024,2025,R64,6,1.13,6.4%,2.1%,60.7%,70.3%,51.8%,63.0%,41.9%,66.7%,42.9%
Madrid Masters,2,Clay,4,2,2,50.0%,0,0,0,-,2024,2025,R32,4,1.02,9.6%,5.2%,62.6%,75.7%,50.0%,66.1%,34.4%,53.3%,37.5%
Miami Masters,4,Hard,10,6,4,60.0%,1,1,0,100.0%,2021,2025,R32,10,1.05,9.6%,3.4%,63.2%,74.4%,52.9%,66.5%,35.1%,68.8%,47.7%
Indian Wells Masters,2,Hard,7,5,2,71.4%,1,1,0,100.0%,2024,2025,R32,7,1.16,9.0%,5.5%,59.3%,79.1%,44.1%,64.8%,40.9%,69.4%,41.7%
