Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,7,4,3,57.1%,11-6,64.7%,87-68,56.1%,0-0,-,7,80.8%,31.2%,5.4%,4.6%,60.0%,70.8%,51.2%,62.9%,40.3%,52.1%,1.09,F (Itajai)
2025,17,5,12,29.4%,15-26,36.6%,196-221,47.0%,4-5,44.4%,17,71.6%,22.5%,5.6%,3.4%,63.0%,69.1%,44.9%,60.1%,37.5%,48.8%,0.94,F (Modena)
2024,10,4,6,40.0%,9-12,42.9%,98-104,48.5%,2-2,50.0%,10,76.0%,20.2%,4.4%,2.3%,66.9%,63.9%,60.1%,62.7%,36.9%,50.0%,0.99,F (Bad Waltersdorf)
2023,47,38,9,80.9%,79-28,73.8%,596-409,59.3%,9-4,69.2%,47,84.1%,33.1%,5.3%,4.1%,60.7%,72.5%,52.5%,64.7%,43.3%,53.8%,1.22,W (4x)
2022,19,6,13,31.6%,15-25,37.5%,183-210,46.6%,3-4,42.9%,19,69.7%,23.6%,4.4%,4.8%,62.6%,67.2%,43.5%,58.3%,38.3%,48.2%,0.92,SF (Sao Leopoldo)
2021,37,17,20,45.9%,37-43,46.3%,377-382,49.7%,4-8,33.3%,37,73.6%,25.9%,4.9%,5.5%,60.2%,66.8%,49.5%,60.0%,39.3%,49.7%,0.98,SF (Guayaquil)
2020,10,4,6,40.0%,11-13,45.8%,112-115,49.3%,2-2,50.0%,10,75.9%,22.5%,5.5%,3.8%,58.4%,67.6%,50.6%,60.5%,37.8%,49.3%,0.96,F (Aix En Provence)
2019,51,31,20,60.8%,72-47,60.5%,611-538,53.2%,9-7,56.3%,51,77.4%,28.5%,6.9%,4.1%,60.2%,71.3%,51.0%,63.2%,39.9%,51.5%,1.09,W (Guayaquil)
2018,5,2,3,40.0%,7-7,50.0%,68-68,50.0%,1-1,50.0%,5,73.5%,25.8%,5.3%,3.2%,64.0%,64.0%,52.1%,59.7%,37.5%,49.4%,0.93,QF (Campinas)
2017,2,1,1,50.0%,3-1,75.0%,24-20,54.5%,1-0,100.0%,2,75.0%,22.7%,7.3%,4.6%,57.0%,74.4%,44.6%,61.6%,36.9%,49.3%,0.96,R16 (Rio De Janeiro)
2016,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,1,60.0%,10.0%,1.4%,4.2%,47.2%,61.8%,47.4%,54.2%,27.8%,42.9%,0.61,R32 (Santos)
Career,206,112,94,54.4%,259-210,55.2%,2359-2148,52.3%,35-33,51.5%,206,76.8%,27.3%,5.6%,4.2%,61.0%,69.4%,50.2%,61.9%,39.9%,50.9%,1.05,
