Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 Barcelona R64,L vs Etcheverry,0.0%,-,16.2%,60.9%,7.3%,0.0%,11.1%,5.3%,37.5%,1.2%,50.0%,-63,-66
2022 Roland Garros R128,L vs Cecchinato,0.6%,100.0%,13.5%,66.7%,14.0%,11.5%,11.8%,3.1%,25.0%,1.5%,50.0%,-25,-29
2022 Acapulco R16,L vs Medvedev,21.1%,37.5%,29.8%,52.0%,4.1%,20.0%,0.0%,7.5%,20.0%,0.0%,-,-66,-95
2021 US Open R32,L vs Medvedev,21.1%,80.0%,24.1%,70.0%,3.3%,5.0%,0.0%,2.7%,11.1%,2.1%,14.3%,-54,-41
2019 Gstaad QF,W vs Lajovic,2.6%,100.0%,15.5%,75.0%,15.9%,15.5%,5.9%,9.9%,30.0%,2.4%,62.5%,-68,-77
2019 Marrakech F,L vs Paire,0.0%,-,6.3%,50.0%,15.2%,42.9%,0.0%,4.8%,0.0%,0.9%,0.0%,-45,-19
2019 Marbella CH F,W vs Paire,0.0%,-,12.3%,74.1%,11.5%,11.8%,0.0%,11.9%,26.1%,0.9%,66.7%,-88,-61
2019 Miami R64,L vs Goffin,1.7%,0.0%,11.9%,80.0%,7.4%,12.5%,28.6%,8.0%,27.8%,1.1%,33.3%,-68,-87
2018 Marrakech F,W vs Edmund,0.0%,-,1.8%,100.0%,11.0%,10.7%,0.0%,10.2%,16.7%,2.5%,60.0%,6,-11
2018 Alicante CH F,W vs De Minaur,0.0%,-,11.8%,71.4%,9.6%,9.5%,0.0%,8.2%,18.2%,0.4%,100.0%,-97,-94
2015 Gstaad QF,L vs Bellucci,4.8%,100.0%,11.2%,78.9%,10.1%,11.8%,7.1%,8.1%,37.5%,3.0%,57.1%,40,3
2015 Geneva R16,W vs Mannarino,1.1%,0.0%,7.0%,64.3%,11.9%,21.9%,0.0%,13.4%,20.8%,2.4%,66.7%,-33,-31
2015 Barcelona F,L vs Nishikori,4.6%,66.7%,13.5%,66.7%,14.3%,15.8%,14.3%,8.6%,16.1%,4.4%,20.0%,-33,-36
2014 Rio de Janeiro SF,L vs Nadal,1.1%,100.0%,11.7%,72.0%,22.0%,31.3%,22.2%,8.1%,21.1%,2.8%,60.0%,28,-7
2013 Madrid SF,L vs Nadal,6.1%,100.0%,17.9%,88.2%,5.0%,0.0%,0.0%,6.8%,0.0%,3.6%,14.3%,-1,2
2012 Belgrade SF,L vs Paire,0.0%,-,8.4%,50.0%,10.3%,25.0%,0.0%,2.1%,9.5%,0.8%,100.0%,-113,-93
2012 Casablanca F,W vs Ramos,1.2%,0.0%,11.7%,75.0%,7.5%,21.9%,0.0%,8.5%,22.7%,2.5%,50.0%,-85,-59
Career (17 matches),,3.4%,71.1%,12.9%,69.3%,10.8%,13.7%,7.2%,7.4%,20.1%,1.9%,47.3%,-45,-47
