Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2022 Wimbledon R128,L vs Norrie,106.6,110.7,4.1,111.9,109.3,119,101,95.4,3.5,95.0,,103,89
2021 US Open R32,L vs Medvedev,102.2,107.7,5.8,109.7,105.4,116,82,90.3,4.2,92.8,87.5,103,83
2021 US Open R64,W vs Kohlschreiber,101.9,107.4,9.1,111.9,101.4,121,78,87.5,3.7,,,95,81
2021 US Open R128,W vs Kukushkin,103.5,110.9,5.0,111.8,108.5,138,98,91.9,4.8,98.0,94.0,102,81
2019 US Open R16,L vs Monfils,102.8,108.1,6.0,109.1,109.8,116,90,90.1,5.2,,,101,79
2019 US Open R32,W vs Bublik,103.5,110.1,3.1,110.6,109.3,116,103,90.7,5.1,89.0,92.0,102,81
2019 US Open R128,W vs Edmund,100.9,107.7,4.8,109.8,105.0,116,84,89.3,4.7,91.2,88.6,98,80
2019 Roland Garros R128,L vs Berrettini,101.9,107.9,3.9,,,114,96,91.1,3.6,,,99,82
2015 Wimbledon R32,L vs Berdych,107.2,111.8,4.8,,,120,93,96.6,4.5,,,104,87
2015 Roland Garros R32,L vs Tsonga,102.7,109.3,7.9,,,119,78,86.6,7.4,,,102,71
2015 Roland Garros R64,W vs Kohlschreiber,102.6,110.8,6.9,,,119,61,84.9,5.1,,,99,75
2014 US Open R64,L vs Nishikori,100.6,105.2,2.8,,,111,99,87.4,5.6,,,100,81
2014 US Open R128,W vs Sock,96.7,103.3,8.9,,,115,84,81.5,10.7,,,93,62
2014 Australian Open R64,L vs Janowicz,102.4,,,,,115,,,,,,,80
2013 US Open R64,L vs Raonic,103.8,,,,,121,,,,,,,63
2012 Roland Garros R64,L vs Wawrinka,101.1,,,,,122,,,,,,,77
2012 Australian Open R64,L vs Chela,100.0,,,,,118,,,,,,,75
2011 Roland Garros R64,L vs Nadal,105.2,112.2,6.9,,,124,88,91.3,4.4,,,101,79
Career (18 matches),,102.8,109.3,5.7,110.6,106.7,138,61,90.0,4.9,93.1,89.6,104,62
