Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,2,2,50.0%,4-2,66.7%,33-28,54.1%,1-0,100.0%,4,58.1%,43.8%,1.5%,5.3%,75.7%,57.7%,46.0%,54.9%,47.6%,51.0%,1.05,QF (W75 Murska Sobota)
2025,24,15,9,62.5%,35-21,62.5%,284-226,55.7%,1-3,25.0%,24,69.0%,42.0%,1.5%,7.1%,72.1%,63.2%,45.0%,58.1%,46.3%,52.2%,1.11,F (2x)
2024,57,38,19,66.7%,83-45,64.8%,647-515,55.7%,9-5,64.3%,10,51.9%,48.1%,0.7%,12.1%,63.8%,58.5%,37.2%,50.8%,49.1%,50.0%,1.00,W (W35 Sharm ElSheikh)
2023,22,15,7,68.2%,36-17,67.9%,272-189,59.0%,1-2,33.3%,0,,,,,,,,,,,,W (W25 Sharm ElSheikh)
2022,34,16,18,47.1%,38-37,50.7%,358-345,50.9%,1-3,25.0%,1,42.9%,0.0%,0.0%,9.1%,63.6%,53.6%,31.3%,45.5%,31.4%,37.9%,0.58,F (W25 Loughborough)
2021,37,21,16,56.8%,51-36,58.6%,427-377,53.1%,6-3,66.7%,6,67.7%,32.3%,3.7%,10.2%,67.1%,61.9%,47.2%,57.1%,43.4%,50.2%,1.01,W (W60 Nur-Sultan)
2020,10,2,8,20.0%,7-18,28.0%,91-135,40.3%,1-0,100.0%,2,10.0%,66.7%,0.0%,26.5%,52.2%,49.3%,18.5%,34.6%,53.0%,44.7%,0.81,R16 (W80 Cagnes-sur-Mer)
2019,45,31,14,68.9%,65-30,68.4%,482-344,58.4%,4-1,80.0%,0,,,,,,,,,,,,W (W25 Obidos)
2018,65,41,24,63.1%,85-59,59.0%,708-590,54.5%,4-7,36.4%,0,,,,,,,,,,,,F (2x)
2017,30,18,12,60.0%,44-27,62.0%,381-270,58.5%,2-10,16.7%,0,,,,,,,,,,,,W (Cairo $15K)
2016,43,30,13,69.8%,66-28,70.2%,490-353,58.1%,5-2,71.4%,0,,,,,,,,,,,,W (2x)
2015,38,24,14,63.2%,50-33,60.2%,395-336,54.0%,4-0,100.0%,0,,,,,,,,,,,,W (Sharm El Sheikh $10K)
2014,26,15,11,57.7%,36-23,61.0%,295-229,56.3%,1-3,25.0%,0,,,,,,,,,,,,F (2x)
2013,7,2,5,28.6%,5-11,31.3%,71-86,45.2%,2-1,66.7%,0,,,,,,,,,,,,R16 (2x)
2012,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,0,,,,,,,,,,,,R32 (Batumi 15K)
Career,443,270,173,60.9%,605-389,60.9%,4943-4036,55.1%,42-40,51.2%,47,61.4%,42.6%,1.5%,9.5%,68.7%,61.0%,41.2%,54.8%,46.8%,50.7%,1.03,
