Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,15,7,8,46.7%,14-16,46.7%,130-145,47.3%,1-0,100.0%,14,52.7%,38.5%,1.2%,10.3%,64.4%,57.7%,40.6%,51.6%,44.8%,48.2%,0.93
Clay,6,0,6,0.0%,0-9,0.0%,19-54,26.0%,0-0,-,6,28.9%,17.5%,1.2%,12.0%,62.0%,50.3%,30.5%,42.8%,35.4%,39.2%,0.62
Grass,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,44.4%,30.0%,0.0%,5.2%,81.0%,51.1%,36.4%,48.3%,40.3%,44.0%,0.78
Grand Slams,2,1,1,50.0%,2-3,40.0%,22-26,45.8%,0-0,-,2,65.2%,28.0%,1.3%,7.0%,60.5%,63.2%,46.8%,56.7%,37.7%,47.2%,0.87
Premiers,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,33.3%,25.0%,0.0%,8.6%,67.2%,46.2%,47.4%,46.6%,40.0%,43.5%,0.75
Internationals,2,0,2,0.0%,0-4,0.0%,11-24,31.4%,0-0,-,2,35.3%,27.8%,0.7%,14.9%,64.9%,57.5%,25.5%,46.3%,39.5%,43.1%,0.73
Quarter-finals,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,1,45.5%,30.0%,1.5%,12.1%,69.7%,58.7%,25.0%,48.5%,39.3%,44.3%,0.76
vs Righties,20,6,14,30.0%,12-26,31.6%,139-197,41.4%,1-0,100.0%,19,45.3%,33.5%,1.0%,10.8%,65.2%,55.6%,36.6%,49.0%,42.9%,45.9%,0.84
vs Lefties,1,1,0,100.0%,2-1,66.7%,17-14,54.8%,0-0,-,1,73.3%,37.5%,2.0%,5.0%,58.0%,63.8%,54.8%,60.0%,44.0%,51.4%,1.10
vs Top 10,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,0.0%,10.5%,64.9%,62.2%,30.0%,50.9%,20.9%,38.0%,0.43
