Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1997,180,108,,,,,,,,,,,,
1996,112,208,60,1821,52,1753,104,1655,33,1727,,,,
1995,65,25,46,1877,38,1804,,,27,1749,,,,
1994,32,48,42,1895,38,1823,77,1697,24,1784,,,,
1993,50,29,56,1842,48,1782,66,1719,36,1715,,,,
1992,32,33,40,1870,34,1795,54,1744,29,1750,,,,
1991,22,43,28,1896,25,1808,69,1714,19,1769,,,,
1990,36,28,65,1794,57,1712,,,46,1680,,,,
1989,23,39,29,1884,26,1792,80,1662,22,1768,,,,
1988,53,16,57,1771,53,1693,,,41,1673,,,,
1987,39,20,56,1785,57,1683,84,1628,38,1704,,,,
1986,57,14,54,1788,51,1692,78,1640,50,1669,,,,
1985,64,,80,1725,101,1586,,,50,1672,,,,
1984,27,,37,1831,58,1667,,,20,1768,,,,
1983,,,52,1789,46,1676,76,1635,27,1746,,,,
