Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,232,123,109,53.0%,249-240,50.9%,2221-2183,50.4%,29-26,52.7%,0,,,,,,,,,,,
Clay,35,13,22,37.1%,30-46,39.5%,306-364,45.7%,5-3,62.5%,0,,,,,,,,,,,
Grass,118,68,50,57.6%,146-108,57.5%,1211-1089,52.7%,10-9,52.6%,0,,,,,,,,,,,
Carpet,66,28,38,42.4%,66-73,47.5%,603-621,49.3%,8-6,57.1%,0,,,,,,,,,,,
Grand Slams,101,54,47,53.5%,110-107,50.7%,1002-1003,50.0%,15-11,57.7%,0,,,,,,,,,,,
Premiers,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,
Finals,7,2,5,28.6%,5-8,38.5%,52-61,46.0%,0-1,0.0%,0,,,,,,,,,,,
Semi-finals,15,5,10,33.3%,10-21,32.3%,119-157,43.1%,1-1,50.0%,0,,,,,,,,,,,
Quarter-finals,46,15,31,32.6%,36-58,38.3%,358-461,43.7%,6-5,54.5%,0,,,,,,,,,,,
vs Righties,241,104,137,43.2%,233-281,45.3%,2239-2415,48.1%,24-30,44.4%,0,,,,,,,,,,,
vs Lefties,26,8,18,30.8%,19-34,35.8%,193-258,42.8%,2-3,40.0%,0,,,,,,,,,,,
vs Top 10,58,4,54,6.9%,20-103,16.3%,393-692,36.2%,3-7,30.0%,0,,,,,,,,,,,
