Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Auckland QF,L vs Jovic,21.5%,26.2%,37.0%,31.3%,37.5%,40.9%,13.3%,29.4%,-,14.3%,17.9%,33.3%,25.0%,18.8%,50.0%,-23
Last 52 Weeks (1 matches),,21.5%,26.2%,37.0%,31.3%,37.5%,40.9%,13.3%,29.4%,-,14.3%,17.9%,33.3%,25.0%,18.8%,50.0%,-23
Career (1 matches),,21.5%,26.2%,37.0%,31.3%,37.5%,40.9%,13.3%,29.4%,-,14.3%,17.9%,33.3%,25.0%,18.8%,50.0%,-23
