Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,2,1,1,50.0%,3-2,60.0%,24-20,54.5%,0-0,-,2,77.3%,31.8%,4.8%,6.9%,71.7%,65.4%,46.3%,60.0%,44.7%,52.2%,1.12,R16 (Austin 125 1)
2025,51,37,14,72.5%,77-40,65.8%,602-470,56.2%,5-6,45.5%,51,66.8%,46.1%,2.1%,7.3%,65.3%,62.4%,46.1%,56.8%,48.1%,52.4%,1.11,W (2x)
2024,35,23,12,65.7%,49-30,62.0%,412-326,55.8%,4-6,40.0%,5,63.2%,46.4%,0.8%,3.6%,74.7%,58.6%,45.9%,55.4%,48.1%,51.8%,1.08,W (W75+H Rome)
2023,15,9,6,60.0%,19-16,54.3%,160-163,49.5%,0-0,-,2,50.0%,39.1%,0.7%,11.3%,64.7%,50.5%,47.2%,49.3%,47.1%,48.3%,0.93,SF (2x)
2022,26,15,11,57.7%,33-25,56.9%,304-266,53.3%,1-4,20.0%,6,47.1%,52.9%,0.2%,6.5%,67.1%,53.2%,39.5%,48.7%,50.5%,49.6%,0.98,W (W60 Montpellier)
2021,41,27,14,65.9%,58-33,63.7%,468-375,55.5%,5-6,45.5%,0,,,,,,,,,,,,W (W15 Manacor)
2020,16,9,7,56.3%,21-16,56.8%,170-152,52.8%,1-0,100.0%,0,,,,,,,,,,,,QF (3x)
2019,8,4,4,50.0%,9-9,50.0%,87-83,51.2%,0-2,0.0%,0,,,,,,,,,,,,QF (W25 Khimki)
2018,1,0,1,0.0%,1-2,33.3%,12-15,44.4%,0-0,-,0,,,,,,,,,,,,R32 (Sant Cugat $25K)
Career,195,125,70,64.1%,270-173,60.9%,2239-1870,54.5%,16-24,40.0%,66,64.4%,46.1%,1.9%,7.0%,66.4%,60.8%,45.4%,55.7%,48.2%,51.9%,1.09,
