Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,8,4,4,50.0%,0,0,0,-,2016,2021,R16,8,0.88,5.7%,4.2%,65.2%,61.9%,41.3%,54.7%,39.8%,53.1%,46.8%
Roland Garros,5,Clay,8,3,5,37.5%,1,0,1,0.0%,2015,2021,R128,5,0.76,2.3%,5.8%,64.6%,51.7%,34.5%,45.7%,41.4%,45.5%,45.7%
Wimbledon,4,Grass,8,4,4,50.0%,0,0,0,-,2015,2023,R64,5,0.82,5.0%,5.6%,60.8%,62.8%,38.1%,53.2%,38.5%,59.1%,41.7%
US Open,6,Hard,9,3,6,33.3%,4,1,3,25.0%,2014,2023,R64,7,0.89,2.9%,6.5%,61.0%,58.0%,38.4%,50.4%,43.9%,42.4%,52.0%
Fed Cup,1,,2,0,2,0.0%,0,0,0,-,2016,2016,,2,0.77,3.2%,4.4%,62.7%,57.6%,40.7%,51.3%,37.6%,56.5%,31.3%
Rome,3,Clay,3,0,3,0.0%,1,0,1,0.0%,2016,2021,R64,3,0.74,2.1%,8.2%,63.0%,48.9%,31.5%,42.5%,42.4%,43.5%,43.8%
Madrid,3,Clay,5,2,3,40.0%,1,1,0,100.0%,2016,2021,R64,5,0.93,2.0%,5.1%,65.8%,57.5%,50.4%,55.1%,41.8%,50.0%,40.5%
St. Petersburg,4,Hard,12,8,4,66.7%,2,1,1,50.0%,2016,2021,F,12,1.11,4.0%,6.5%,63.5%,64.3%,40.7%,55.7%,49.3%,57.8%,50.0%
Istanbul,3,Clay,9,6,3,66.7%,3,1,2,33.3%,2015,2020,SF,7,1.04,3.1%,7.6%,60.7%,60.6%,45.3%,54.6%,47.4%,52.7%,51.6%
Cincinnati,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2019,2020,Q1,2,0.74,3.1%,8.6%,51.6%,56.1%,43.5%,50.0%,37.1%,55.0%,27.8%
Doha,2,Hard,3,1,2,33.3%,0,0,0,-,2016,2020,R32,3,0.99,2.5%,5.7%,61.0%,62.9%,35.5%,52.2%,47.3%,42.9%,50.0%
