Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 Roland Garros R128,L vs Li,0.94,0.36,28.6,2.1,0.0%,28.6%,0.0%,35.0%,30.0%,22.2%
2021 St. Petersburg SF,W vs Zvonareva,1.13,1.20,65.2,2.1,4.7%,58.1%,2.4%,46.3%,52.4%,48.8%
2021 Australian Open R128,L vs Muguruza,1.00,0.56,42.0,2.3,0.0%,55.2%,0.0%,37.0%,26.1%,35.0%
2020 Roland Garros R128,L vs Mertens,0.92,0.72,51.8,2.4,0.0%,35.5%,0.0%,43.3%,38.2%,57.6%
2020 Australian Open R128,L vs Sakkari,0.84,0.39,32.0,2.1,0.0%,50.0%,0.0%,45.8%,30.4%,15.8%
2020 Shenzhen R32,L vs Sabalenka,1.06,0.64,45.5,2.2,0.0%,31.0%,3.8%,57.7%,31.0%,37.0%
2019 US Open R64,L vs Konta,1.09,0.47,36.7,2.4,0.0%,45.5%,0.0%,20.0%,40.0%,16.7%
2019 US Open R128,W vs Hon,1.19,1.27,57.2,3.3,2.5%,57.5%,0.0%,51.4%,50.0%,47.1%
2019 New York R32,L vs Giorgi,0.81,0.55,38.5,2.0,-,57.1%,-,41.7%,33.3%,34.8%
2019 Wimbledon R128,W vs Friedsam,1.17,1.38,47.9,2.1,12.1%,66.7%,3.3%,63.3%,31.3%,51.7%
2019 Eastbourne R32,L vs Pliskova,0.90,0.59,39.7,2.1,-,53.3%,-,40.0%,44.4%,24.0%
2019 Birmingham R16,L vs Martic,1.02,0.72,61.8,2.0,7.9%,57.9%,0.0%,55.6%,26.5%,34.4%
2019 Birmingham R32,W vs Svitolina,1.17,1.25,55.1,2.5,4.3%,56.5%,4.9%,58.5%,45.5%,45.0%
2019 Roland Garros R128,L vs Blinkova,0.91,0.84,81.5,25.5,1.9%,53.8%,8.5%,51.1%,35.2%,53.2%
2019 Madrid R64,L vs Halep,0.99,0.69,46.7,2.0,0.0%,39.3%,0.0%,40.7%,40.0%,43.5%
2019 Prague R32,L vs Wang,0.95,0.83,62.0,3.7,0.0%,50.0%,0.0%,51.1%,51.1%,34.1%
2019 Istanbul QF,W vs Kudermetova,1.09,1.28,59.5,2.1,0.0%,41.2%,0.0%,48.4%,60.6%,70.0%
2019 Istanbul R16,W vs Buzarnescu,1.36,1.19,68.4,14.8,0.0%,47.8%,2.5%,50.0%,37.2%,52.5%
2019 Istanbul R32,W vs Larsson,1.13,1.12,76.9,3.9,0.0%,64.7%,0.0%,37.3%,46.8%,50.0%
2019 Monterrey R16,L vs Muguruza,0.97,0.85,64.6,4.1,2.0%,53.1%,6.4%,51.1%,38.3%,45.5%
2021 (3 matches),,1.05,0.77,50.2,2.2,2.2%,50.5%,1.1%,40.9%,40.0%,39.2%
2020 (3 matches),,0.95,0.62,44.1,2.2,0.0%,38.6%,1.3%,48.8%,33.7%,40.5%
2019 (19 matches),,1.05,0.95,59.1,2.8,2.9%,53.7%,2.1%,49.6%,43.2%,44.9%
2018 (22 matches),,1.05,1.17,57.0,2.6,2.3%,61.0%,5.3%,56.7%,44.5%,46.8%
2016 (20 matches),,1.00,0.94,58.4,2.8,3.5%,53.9%,4.3%,56.1%,43.3%,41.1%
Career (109 matches),,1.03,1.01,57.0,2.7,2.5%,56.6%,3.2%,54.1%,43.1%,44.1%
