Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 St Petersburg SF,W vs Zvonareva,19.0%,29.8%,43.8%,20.4%,33.3%,44.2%,55.6%,37.0%,25.0%,19.2%,26.9%,42.9%,11.1%,41.2%,33.3%,57
2020 Shenzhen R32,L vs Sabalenka,12.7%,29.1%,38.6%,17.1%,37.1%,41.4%,40.0%,45.0%,66.7%,6.3%,18.8%,33.3%,33.3%,57.1%,66.7%,-61
2019 US Open R128,W vs Hon,24.7%,32.5%,44.2%,28.0%,36.0%,44.4%,26.9%,50.0%,0.0%,23.8%,33.3%,43.8%,20.0%,6.3%,0.0%,94
2019 Wimbledon R64,L vs Svitolina,11.1%,20.8%,59.0%,15.9%,27.3%,62.2%,48.0%,47.4%,50.0%,4.0%,12.0%,54.2%,37.5%,11.8%,0.0%,-77
2019 Birmingham R16,L vs Martic,21.6%,32.4%,48.1%,25.0%,37.5%,58.3%,45.5%,34.6%,0.0%,18.2%,27.3%,27.8%,37.5%,14.3%,0.0%,58
2019 Birmingham R32,W vs Svitolina,19.5%,26.4%,51.6%,21.4%,32.1%,56.8%,51.7%,37.0%,60.0%,20.0%,20.0%,40.0%,50.0%,33.3%,33.3%,67
2019 Madrid R64,L vs Halep,10.9%,10.9%,35.6%,11.1%,11.1%,28.1%,41.2%,52.6%,50.0%,13.3%,13.3%,53.8%,42.9%,12.5%,0.0%,2
2019 Australian Open R64,L vs Mertens,20.0%,28.0%,33.9%,23.5%,33.3%,30.8%,64.0%,38.5%,40.0%,13.0%,17.4%,40.0%,18.2%,41.7%,50.0%,-54
2018 Mumbai SF,L vs Kumkhum,15.0%,20.0%,35.4%,23.5%,32.4%,38.5%,29.4%,5.9%,0.0%,4.3%,4.3%,31.8%,8.3%,36.4%,100.0%,-74
2018 Luxembourg QF,L vs Yastremska,23.9%,32.6%,29.0%,37.9%,48.3%,33.3%,81.3%,30.8%,66.7%,0.0%,7.7%,23.1%,0.0%,55.6%,100.0%,-119
2018 Linz QF,L vs Giorgi,9.1%,14.3%,52.3%,11.1%,20.0%,50.0%,36.4%,8.7%,0.0%,7.4%,7.4%,56.0%,0.0%,31.3%,33.3%,-47
2018 Linz R16,W vs Bertens,26.9%,33.3%,48.4%,35.1%,45.6%,45.9%,51.7%,28.6%,14.3%,16.7%,16.7%,52.0%,7.7%,11.8%,0.0%,41
2018 Tashkent F,W vs Potapova,34.1%,45.5%,65.4%,40.7%,55.6%,81.3%,53.8%,42.9%,0.0%,28.6%,35.7%,40.0%,28.6%,14.3%,-,109
2018 Tashkent QF,W vs Stollar,26.0%,35.4%,47.7%,32.8%,46.3%,51.1%,44.1%,21.2%,0.0%,13.0%,13.0%,40.0%,9.1%,16.7%,100.0%,0
2016 Fed Cup RR,L vs Sasnovich,20.8%,30.7%,44.4%,24.2%,38.7%,48.9%,39.4%,17.2%,33.3%,19.4%,22.6%,36.0%,28.6%,5.9%,0.0%,63
2016 Indian Wells R128,W vs Govortsova,31.7%,41.7%,55.9%,42.9%,57.1%,65.0%,45.0%,53.3%,100.0%,22.2%,27.8%,42.9%,83.3%,16.7%,0.0%,65
2016 St Petersburg R16,L vs Ivanovic,25.4%,29.9%,39.1%,36.6%,43.9%,42.3%,25.0%,14.3%,20.0%,9.1%,9.1%,35.0%,10.0%,0.0%,0.0%,-30
2016 Australian Open R16,L vs Williams,23.9%,32.6%,29.0%,30.0%,43.3%,38.1%,43.8%,35.7%,33.3%,16.7%,16.7%,10.0%,66.7%,33.3%,100.0%,25
2016 Hobart R16,L vs Larsson,11.0%,17.6%,50.0%,14.8%,24.1%,56.5%,12.0%,37.9%,57.1%,6.3%,9.4%,40.0%,11.1%,0.0%,0.0%,-56
2016 Hobart R32,W vs Inglis,32.1%,42.9%,41.7%,41.7%,55.6%,57.1%,31.6%,11.8%,50.0%,16.7%,22.2%,20.0%,80.0%,0.0%,0.0%,17
Career (24 matches),,21.2%,29.7%,46.1%,27.4%,38.7%,48.8%,44.1%,32.9%,38.3%,12.9%,17.6%,41.6%,29.6%,19.3%,30.4%,6
