Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,10,6,4,60.0%,14-10,58.3%,119-104,53.4%,0-2,0.0%,0,,,,,,,,,,,,SF (2x)
2022,28,12,16,42.9%,27-34,44.3%,270-287,48.5%,2-2,50.0%,2,25.0%,20.0%,4.6%,17.4%,59.6%,44.6%,31.8%,39.4%,37.9%,38.7%,0.63,SF (W25+H Tossa de Mar)
2021,22,11,11,50.0%,27-27,50.0%,252-261,49.1%,5-2,71.4%,0,,,,,,,,,,,,QF (3x)
2020,28,19,9,67.9%,43-24,64.2%,341-268,56.0%,4-0,100.0%,0,,,,,,,,,,,,W (W15 Manacor)
2019,52,32,20,61.5%,70-48,59.3%,578-501,53.6%,6-5,54.5%,0,,,,,,,,,,,,W (W15 Manacor)
2018,36,25,11,69.4%,55-29,65.5%,444-327,57.6%,2-5,28.6%,0,,,,,,,,,,,,W (2x)
2017,3,1,2,33.3%,3-4,42.9%,33-36,47.8%,0-0,-,0,,,,,,,,,,,,R16 (Benicarlo $15K)
2016,54,36,18,66.7%,76-46,62.3%,605-495,55.0%,9-3,75.0%,0,,,,,,,,,,,,F (3x)
2015,34,21,13,61.8%,45-36,55.6%,396-367,51.9%,4-4,50.0%,0,,,,,,,,,,,,W (Targu Jiu $10K)
2014,32,20,12,62.5%,44-29,60.3%,371-300,55.3%,3-4,42.9%,0,,,,,,,,,,,,SF (3x)
2013,20,12,8,60.0%,25-18,58.1%,203-172,54.1%,3-2,60.0%,0,,,,,,,,,,,,SF (2x)
2012,13,8,5,61.5%,15-13,53.6%,128-136,48.5%,3-0,100.0%,0,,,,,,,,,,,,SF (Antalya 10K)
2011,7,3,4,42.9%,6-8,42.9%,71-71,50.0%,1-4,20.0%,0,,,,,,,,,,,,SF (Arad 10K)
Career,339,206,133,60.8%,450-326,58.0%,3811-3325,53.4%,42-33,56.0%,2,25.0%,20.0%,4.6%,17.4%,59.6%,44.6%,31.8%,39.4%,37.9%,38.7%,0.63,
