Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-02-26),1152,10,,,,,,,,,1091,22,,
2023,1066,14,,,,,,,,,,,,
2022,480,88,,,,,,,,,,,,
2021,392,148,,,,,,,,,,,,
2020,375,129,,,,,,,,,263,317,,
2019,386,118,,,,,,,,,288,255,,
2018,717,12,,,,,,,,,676,28,,
2017,1062,7,,,,,,,,,583,63,,
2016,434,77,,,,,,,,,420,115,,
2015,575,43,,,,,,,,,395,121,,
2014,565,39,,,,,,,,,445,90,,
2013,780,24,,,,,,,,,747,39,,
2012,860,16,,,,,,,,,952,17,,
2011,,,,,,,,,,,908,20,,
