Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,111,68,43,61.3%,155-107,59.2%,1294-1113,53.8%,15-10,60.0%,0,,,,,,,,,,,
Clay,223,135,88,60.5%,288-213,57.5%,2457-2154,53.3%,26-23,53.1%,2,25.0%,20.0%,4.6%,17.4%,59.6%,44.6%,31.8%,39.4%,37.9%,38.7%,0.63
Carpet,5,3,2,60.0%,7-6,53.8%,60-58,50.8%,1-0,100.0%,0,,,,,,,,,,,
Finals,13,5,8,38.5%,14-18,43.8%,153-147,51.0%,0-4,0.0%,0,,,,,,,,,,,
Semi-finals,31,13,18,41.9%,34-39,46.6%,340-351,49.2%,5-4,55.6%,0,,,,,,,,,,,
Quarter-finals,62,31,31,50.0%,72-70,50.7%,657-641,50.6%,6-6,50.0%,0,,,,,,,,,,,
vs Righties,210,126,84,60.0%,270-206,56.7%,2331-2130,52.3%,35-21,62.5%,2,25.0%,20.0%,4.6%,17.4%,59.6%,44.6%,31.8%,39.4%,37.9%,38.7%,0.63
vs Lefties,22,6,16,27.3%,18-34,34.6%,211-261,44.7%,1-3,25.0%,0,,,,,,,,,,,
