Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Brisbane R16,L vs Nakashima,10.0%,60.0%,9.5%,63.6%,22.9%,25.0%,25.0%,12.8%,11.1%,2.1%,0.0%,82,34
2025 Halle R16,L vs Medvedev,9.1%,80.0%,20.2%,50.0%,25.8%,35.7%,25.0%,7.1%,11.1%,6.5%,28.6%,175,38
2025 Stuttgart R16,L vs Fritz,13.5%,71.4%,9.8%,84.6%,15.6%,11.1%,0.0%,13.2%,23.1%,3.4%,20.0%,43,25
2025 Indian Wells R64,L vs Alcaraz,8.5%,75.0%,15.5%,46.7%,20.0%,22.2%,0.0%,5.7%,0.0%,1.9%,50.0%,-2,-80
2024 Gstaad F,L vs Berrettini,0.0%,-,11.3%,33.3%,12.9%,15.4%,0.0%,0.0%,0.0%,0.0%,-,81,7
2024 Gstaad SF,W vs Struff,0.0%,-,4.4%,100.0%,47.8%,44.4%,50.0%,22.7%,66.7%,3.8%,50.0%,4,21
2023 Shanghai R64,L vs Rublev,2.1%,100.0%,0.8%,100.0%,43.3%,44.4%,100.0%,9.7%,33.3%,2.0%,0.0%,156,117
2023 Wimbledon R32,L vs Sinner,2.0%,50.0%,7.0%,66.7%,20.3%,47.6%,0.0%,17.1%,14.3%,2.8%,16.7%,79,145
2023 Estoril SF,L vs Ruud,5.6%,100.0%,10.7%,89.5%,30.3%,30.0%,50.0%,6.5%,37.5%,4.5%,55.6%,96,109
2023 Miami R16,L vs Medvedev,23.2%,69.2%,20.2%,65.2%,15.4%,27.8%,0.0%,7.4%,25.0%,3.4%,0.0%,29,31
2023 Miami R64,W vs De Minaur,0.9%,100.0%,10.8%,67.9%,25.4%,25.5%,57.1%,10.9%,20.0%,1.3%,20.0%,43,66
2023 Australian Open R128,L vs Tsitsipas,3.7%,100.0%,13.0%,83.3%,20.3%,20.0%,33.3%,21.2%,60.0%,2.9%,0.0%,127,92
2023 Adelaide R16,L vs Djokovic,5.6%,100.0%,12.7%,85.0%,18.1%,24.1%,28.6%,8.9%,10.0%,2.6%,16.7%,29,32
2022 Stockholm R32,L vs Ymer,8.8%,55.6%,25.6%,61.5%,19.1%,26.4%,37.5%,1.0%,0.0%,1.7%,0.0%,3,12
2022 Ismaning CH F,W vs Rehberg,9.1%,100.0%,9.9%,100.0%,24.0%,33.3%,0.0%,18.2%,20.0%,0.0%,-,52,216
2017 Anning CH F,L vs Tipsarevic,2.8%,100.0%,5.8%,81.8%,26.3%,52.6%,100.0%,8.8%,33.3%,2.5%,0.0%,36,78
2015 Tiburon CH SF,L vs Smyczek,5.6%,66.7%,11.9%,50.0%,11.3%,17.6%,0.0%,10.3%,33.3%,1.8%,33.3%,34,67
Career (17 matches),,6.0%,75.8%,11.7%,69.2%,22.3%,28.8%,33.3%,9.7%,21.5%,2.4%,20.3%,55,61
