Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R128,L vs Virtanen,110.5,116.4,7.5,120.9,112.3,127,100,100.8,6.5,105.3,100.4,114,82
2024 Wimbledon R32,L vs Rune,110.9,115.0,8.9,119.3,109.8,130,90,104.3,8.0,111.4,95.3,118,80
2023 US Open R128,L vs Bonzi,112.3,117.8,9.2,123.1,112.3,129,69,102.5,6.3,108.8,101.3,117,80
2023 Wimbledon R32,L vs Sinner,115.0,120.6,7.9,124.3,113.8,130,98,106.6,5.8,111.3,103.0,119,94
2023 Wimbledon R128,W vs Evans,117.1,124.9,5.9,126.7,122.4,133,104,106.2,6.8,111.4,99.9,119,91
2022 US Open R128,L vs Rinderknech,107.4,114.2,10.4,116.9,110.7,127,61,97.3,5.7,101.0,96.1,111,87
2021 US Open R128,L vs Koepfer,113.3,120.6,10.7,125.5,111.7,133,75,98.4,9.2,108.3,95.4,116,73
2019 Roland Garros R128,L vs Nishikori,106.2,118.6,9.6,,,131,95,94.1,7.7,,,118,79
2017 Roland Garros R128,L vs Trungelliti,105.5,113.8,10.9,,,131,76,95.3,6.9,,,115,77
2017 Australian Open R128,L vs Querrey,108.0,115.2,9.6,120.2,113.0,128,88,95.8,6.6,98.2,91.3,115,78
2016 Roland Garros R64,L vs Cuevas,107.4,115.5,10.3,,,126,78,90.7,6.9,,,103,77
2016 Roland Garros R128,W vs Chung,104.6,112.5,9.6,,,124,80,81.4,5.2,,,92,72
2016 Australian Open R64,L vs Djokovic,110.6,118.1,9.2,,,129,67,93.3,8.1,,,109,79
2015 Roland Garros R128,L vs Nadal,109.3,117.4,5.9,,,128,103,89.4,5.5,,,106,82
Career (14 matches),,109.9,117.1,9.0,121.9,112.9,133,61,98.0,6.9,106.9,97.1,119,72
