Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Brisbane R16,L vs Nakashima,3.2,3.2,3.3,44.2%,52.2%,44.4%,28.6%,53.5%,21.2%,6.0,9.5,3.0,5.8
2025 Halle R16,L vs Medvedev,2.9,2.8,2.9,44.0%,36.0%,25.0%,0.0%,54.2%,30.6%,2.0,4.4,-6.5,-19.1
2025 Stuttgart R16,L vs Fritz,3.0,2.7,3.2,48.5%,42.1%,45.5%,16.7%,40.4%,35.6%,-4.0,-8.5,0.5,0.9
2025 Indian Wells R64,L vs Alcaraz,3.1,3.7,2.6,44.6%,39.1%,50.0%,66.7%,34.6%,20.0%,7.0,21.2,-5.0,-8.9
2024 Gstaad F,L vs Berrettini,3.0,2.8,3.2,36.4%,18.8%,33.3%,-,51.1%,30.2%,-7.0,-17.9,-7.5,-25.0
2024 Gstaad SF,W vs Struff,2.4,2.1,2.8,51.9%,61.1%,75.0%,100.0%,53.3%,20.4%,11.5,29.5,2.5,6.6
2023 Shanghai R64,L vs Rublev,2.4,2.3,2.5,43.2%,38.9%,57.1%,-,45.0%,18.2%,8.0,20.0,-7.0,-15.6
2023 Wimbledon R32,L vs Sinner,2.6,2.8,2.4,47.1%,46.3%,33.3%,33.3%,47.9%,23.6%,-7.5,-9.6,-3.0,-3.8
2023 Estoril SF,L vs Ruud,3.1,2.6,3.5,50.0%,51.3%,35.7%,50.0%,46.2%,15.0%,3.0,3.9,1.5,1.7
2023 Miami R16,L vs Medvedev,3.6,3.4,3.8,43.5%,33.3%,46.2%,60.0%,55.4%,37.9%,-3.5,-5.6,-0.5,-1.3
2023 Miami R64,W vs De Minaur,3.8,3.6,4.0,49.4%,50.8%,51.7%,35.7%,41.0%,11.5%,17.0,11.3,-5.0,-2.4
2023 Australian Open R128,L vs Tsitsipas,2.7,2.8,2.7,44.7%,36.8%,69.2%,50.0%,58.0%,19.2%,3.0,3.4,2.5,4.3
2023 Adelaide R16,L vs Djokovic,3.8,3.8,3.9,46.8%,52.8%,33.3%,40.0%,49.1%,36.4%,1.5,1.4,-3.0,-4.1
2022 Stockholm R32,L vs Ymer,4.4,4.1,4.9,54.8%,46.2%,35.7%,21.1%,49.3%,19.0%,8.5,5.3,-10.0,-6.9
2022 Ismaning CH F,W vs Rehberg,2.5,2.1,3.0,60.0%,44.4%,28.6%,0.0%,49.5%,34.0%,0.5,1.3,-4.0,-11.8
2017 Anning CH F,L vs Tipsarevic,3.4,2.7,4.0,46.2%,50.0%,50.0%,46.2%,45.1%,18.7%,4.0,4.0,1.0,1.0
2015 Tiburon CH SF,L vs Smyczek,4.0,3.4,4.8,42.4%,56.5%,18.2%,25.0%,48.8%,21.4%,-0.5,-0.7,-2.0,-3.2
Career (17 matches),,3.2,3.1,3.4,47.5%,45.6%,42.9%,35.1%,47.8%,22.4%,2.9,4.0,-2.5,-3.5
