Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,26,9,17,34.6%,25-40,38.5%,312-341,47.8%,7-7,50.0%,26,79.9%,15.6%,13.1%,4.3%,61.1%,75.4%,47.6%,64.6%,34.2%,49.3%,0.97
Clay,8,3,5,37.5%,8-11,42.1%,95-106,47.3%,3-1,75.0%,7,81.4%,13.0%,10.1%,4.9%,55.5%,75.5%,54.1%,66.0%,32.0%,49.5%,0.94
Grass,6,2,4,33.3%,4-10,28.6%,66-81,44.9%,0-3,0.0%,6,84.5%,8.2%,16.1%,6.3%,59.4%,81.6%,49.7%,68.6%,28.9%,47.7%,0.92
Grand Slams,7,3,4,42.9%,11-13,45.8%,120-132,47.6%,5-1,83.3%,7,79.8%,15.7%,11.8%,6.6%,56.0%,75.5%,52.6%,65.4%,34.8%,49.7%,1.01
Masters,10,4,6,40.0%,9-13,40.9%,113-111,50.4%,2-3,40.0%,10,83.8%,16.7%,13.8%,3.6%,62.3%,76.3%,49.6%,66.2%,34.6%,50.3%,1.02
Other Tours,23,7,16,30.4%,17-35,32.7%,240-285,45.7%,3-7,30.0%,22,80.2%,12.0%,13.0%,4.3%,60.4%,76.6%,47.5%,65.1%,31.4%,48.3%,0.90
Best of 5,6,2,4,33.3%,10-13,43.5%,113-126,47.3%,4-1,80.0%,6,78.4%,15.3%,11.4%,6.9%,56.1%,75.2%,51.4%,64.7%,34.4%,49.3%,0.98
Best of 3,34,12,22,35.3%,27-48,36.0%,360-402,47.2%,6-10,37.5%,33,81.6%,13.6%,13.3%,4.0%,60.8%,76.6%,48.6%,65.6%,32.6%,49.0%,0.95
vs Righties,35,12,23,34.3%,32-56,36.4%,424-485,46.6%,9-10,47.4%,35,80.3%,13.4%,12.8%,4.9%,59.5%,76.1%,49.2%,65.2%,32.6%,48.8%,0.94
vs Lefties,4,2,2,50.0%,5-5,50.0%,49-43,53.3%,1-1,50.0%,4,86.7%,20.0%,13.2%,2.9%,61.8%,78.0%,51.4%,67.9%,36.8%,51.7%,1.15
vs Top 10,4,0,4,0.0%,2-9,18.2%,53-68,43.8%,0-4,0.0%,4,82.8%,8.5%,11.8%,5.5%,58.5%,78.9%,47.7%,65.9%,27.6%,47.0%,0.81
