Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,102,35,67,34.3%,106-158,40.2%,1309-1420,48.0%,27-38,41.5%,102,82.0%,14.1%,14.6%,5.2%,60.5%,76.9%,46.1%,64.7%,32.9%,48.9%,0.93
Clay,31,12,19,38.7%,38-48,44.2%,456-467,49.4%,10-15,40.0%,30,83.5%,15.0%,11.3%,5.9%,56.0%,76.3%,51.9%,65.6%,32.8%,49.5%,0.95
Grass,17,8,9,47.1%,27-27,50.0%,276-261,51.4%,3-7,30.0%,17,88.6%,15.0%,16.0%,4.7%,59.1%,82.7%,52.4%,70.3%,32.3%,50.9%,1.09
Grand Slams,38,12,26,31.6%,60-85,41.4%,736-783,48.5%,15-21,41.7%,38,82.5%,14.7%,13.6%,6.0%,59.8%,76.8%,47.8%,65.2%,33.0%,49.2%,0.95
Masters,25,11,14,44.0%,26-32,44.8%,296-298,49.8%,7-7,50.0%,25,84.6%,14.6%,14.9%,4.2%,60.5%,78.1%,50.0%,67.0%,33.7%,50.2%,1.02
Other Tours,86,31,55,36.0%,83-116,41.7%,996-1058,48.5%,17-32,34.7%,85,83.1%,14.1%,14.0%,5.1%,58.5%,77.8%,48.0%,65.4%,32.3%,49.0%,0.93
Best of 5,37,11,26,29.7%,59-85,41.0%,729-777,48.4%,14-21,40.0%,37,82.4%,14.6%,13.5%,6.1%,59.9%,76.8%,47.6%,65.1%,32.9%,49.2%,0.94
Best of 3,113,44,69,38.9%,112-148,43.1%,1312-1371,48.9%,26-39,40.0%,112,83.6%,14.3%,14.3%,4.9%,59.0%,77.8%,48.7%,65.9%,32.7%,49.3%,0.96
Finals,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,50.0%,0.0%,9.3%,2.3%,44.2%,68.4%,37.5%,51.2%,10.8%,32.5%,0.22
Semi-finals,3,1,2,33.3%,4-4,50.0%,43-42,50.6%,1-1,50.0%,3,88.4%,10.0%,15.2%,4.1%,60.1%,78.8%,55.7%,69.5%,32.8%,50.6%,1.08
Quarter-finals,6,3,3,50.0%,6-7,46.2%,70-66,51.5%,1-4,20.0%,6,86.6%,17.2%,14.4%,3.9%,55.9%,79.0%,53.0%,67.6%,31.1%,49.7%,0.96
vs Righties,137,50,87,36.5%,154-215,41.7%,1868-1980,48.5%,37-57,39.4%,137,82.9%,14.3%,14.0%,5.3%,59.2%,77.4%,48.2%,65.5%,32.7%,49.2%,0.95
vs Lefties,12,5,7,41.7%,17-18,48.6%,173-168,50.7%,3-3,50.0%,12,86.3%,15.0%,14.2%,5.1%,61.3%,78.6%,49.0%,67.2%,33.7%,50.1%,1.03
vs Top 10,16,1,15,6.3%,6-36,14.3%,177-252,41.3%,1-10,9.1%,16,76.2%,8.7%,12.9%,5.8%,59.2%,75.7%,42.8%,62.2%,27.2%,45.3%,0.72
