Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Indian Wells R128,L vs Van De Zandschulp,28.8%,33.9%,37.5%,32.4%,41.2%,50.0%,45.0%,47.4%,28.6%,50.0%,100.0%,13.0%,13.0%,30.0%,14
2024 Brisbane R32,L vs Mpetshi Perricard,32.7%,57.0%,69.4%,46.4%,34.6%,60.5%,73.6%,52.7%,33.3%,37.5%,50.0%,26.9%,46.2%,57.9%,-79
2023 Stuttgart R32,L vs Wu,56.9%,62.1%,20.0%,58.6%,67.5%,72.5%,23.1%,70.0%,45.5%,38.9%,0.0%,46.2%,53.8%,14.3%,248
2022 US Open QF,L vs Khachanov,39.1%,51.9%,53.5%,46.0%,51.9%,63.9%,59.6%,61.8%,44.4%,22.2%,50.0%,12.8%,30.8%,44.1%,7
2022 US Open R16,W vs Medvedev,40.8%,52.5%,48.4%,47.8%,51.8%,67.1%,48.8%,61.5%,50.0%,34.7%,20.0%,17.9%,21.4%,47.8%,39
2022 US Open R32,W vs Wolf,48.8%,57.0%,48.7%,53.1%,55.7%,63.9%,48.1%,61.8%,40.7%,35.3%,40.0%,40.0%,50.0%,50.0%,224
2022 Cincinnati R64,W vs Davidovich Fokina,35.6%,50.7%,52.3%,42.7%,42.3%,57.7%,53.3%,52.3%,54.5%,40.0%,100.0%,22.2%,38.9%,50.0%,91
2022 Canada QF,L vs Hurkacz,30.5%,53.3%,61.5%,43.0%,38.4%,63.0%,64.4%,56.4%,48.3%,43.2%,75.0%,16.7%,41.7%,55.0%,19
2022 Canada R16,W vs De Minaur,38.1%,57.1%,48.0%,45.5%,54.2%,75.0%,54.5%,67.1%,45.5%,69.2%,100.0%,17.6%,35.3%,42.9%,5
2022 Canada R32,W vs Medvedev,43.3%,58.9%,59.6%,52.0%,50.8%,69.8%,64.5%,63.2%,48.0%,52.6%,100.0%,30.4%,39.1%,50.0%,145
2022 Canada R64,W vs Baez,31.3%,44.8%,50.0%,37.8%,39.1%,50.0%,53.6%,48.5%,45.0%,38.5%,50.0%,15.8%,36.8%,43.8%,39
2022 Washington F,W vs Nishioka,42.0%,58.0%,68.0%,47.0%,60.0%,80.0%,70.0%,70.0%,72.7%,21.4%,-,28.6%,42.9%,66.7%,146
2022 Washington SF,W vs Ymer,48.5%,62.1%,55.9%,53.9%,53.2%,66.0%,50.0%,60.9%,42.9%,33.3%,-,36.8%,52.6%,66.7%,-79
2022 Washington R16,W vs Opelka,57.4%,67.2%,54.5%,61.5%,64.3%,76.2%,66.7%,70.2%,55.0%,45.5%,0.0%,53.3%,60.0%,28.6%,240
2022 Washington R32,W vs Paul,44.4%,54.0%,55.2%,51.3%,52.3%,63.6%,66.7%,62.0%,40.0%,47.4%,0.0%,38.5%,46.2%,25.0%,171
2022 Washington R64,W vs Giron,50.0%,66.0%,59.1%,54.2%,67.6%,76.5%,45.5%,73.8%,46.7%,42.1%,100.0%,15.4%,53.8%,72.7%,19
2022 Wimbledon F,L vs Djokovic,41.6%,50.4%,45.5%,45.8%,50.5%,59.3%,40.0%,56.3%,43.6%,44.2%,33.3%,22.2%,33.3%,57.1%,76
2022 Wimbledon QF,W vs Garin,41.2%,55.3%,41.3%,46.6%,53.1%,66.7%,42.1%,60.6%,30.3%,56.3%,40.0%,13.8%,31.0%,40.0%,15
2022 Stuttgart R32,W vs Lehecka,57.1%,72.9%,53.8%,61.0%,72.3%,78.7%,46.2%,78.1%,61.9%,23.1%,100.0%,31.6%,73.7%,61.5%,169
2022 Wimbledon R16,W vs Nakashima,40.4%,52.5%,50.6%,46.2%,49.0%,57.8%,55.8%,57.0%,49.1%,40.8%,100.0%,20.6%,44.1%,40.7%,44
Career (146 matches),,41.0%,52.5%,51.7%,46.9%,51.1%,63.5%,54.9%,60.1%,43.4%,40.6%,56.5%,24.3%,35.7%,47.1%,107
