Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Indian Wells R128,L vs Van De Zandschulp,3.8%,100.0%,14.4%,52.9%,15.5%,12.5%,0.0%,4.7%,14.3%,5.2%,9.1%,32,40
2024 Brisbane R32,L vs Mpetshi Perricard,5.5%,60.0%,13.3%,79.3%,43.8%,31.8%,66.7%,6.9%,14.3%,1.9%,0.0%,135,35
2023 Stuttgart R32,L vs Wu,0.0%,-,1.6%,50.0%,25.0%,66.7%,0.0%,8.0%,66.7%,3.1%,33.3%,-9,89
2022 US Open QF,L vs Khachanov,9.5%,33.3%,10.2%,63.6%,21.4%,16.3%,9.1%,7.9%,27.3%,1.6%,28.6%,11,30
2022 US Open R16,W vs Medvedev,16.2%,56.3%,17.4%,62.8%,20.6%,17.6%,0.0%,0.0%,0.0%,4.2%,35.7%,27,19
2022 US Open R32,W vs Wolf,1.5%,100.0%,4.8%,75.0%,11.4%,12.5%,0.0%,9.6%,16.7%,0.9%,0.0%,-21,14
2022 Cincinnati R64,W vs Davidovich Fokina,19.0%,58.3%,15.6%,65.2%,33.3%,20.0%,0.0%,11.8%,25.0%,2.9%,20.0%,73,51
2022 Canada QF,L vs Hurkacz,15.1%,61.5%,18.1%,56.8%,42.9%,58.8%,0.0%,18.9%,28.6%,6.3%,25.0%,99,116
2022 Canada R16,W vs De Minaur,29.4%,80.0%,17.0%,80.0%,10.9%,7.1%,0.0%,16.3%,66.7%,1.8%,0.0%,-31,-26
2022 Canada R32,W vs Medvedev,64.1%,72.0%,33.2%,72.1%,3.6%,0.0%,0.0%,10.4%,60.0%,4.8%,36.4%,36,16
2022 Canada R64,W vs Baez,19.7%,66.7%,21.6%,58.6%,8.5%,8.3%,0.0%,5.9%,16.7%,5.5%,14.3%,-20,-21
2022 Washington F,W vs Nishioka,16.2%,66.7%,11.4%,76.9%,16.9%,25.0%,0.0%,15.9%,30.0%,3.6%,83.3%,82,101
2022 Washington SF,W vs Ymer,21.4%,75.0%,16.8%,63.6%,14.5%,15.8%,0.0%,6.8%,0.0%,4.7%,33.3%,23,16
2022 Washington R16,W vs Opelka,0.0%,-,2.7%,66.7%,25.0%,40.0%,0.0%,13.0%,60.0%,1.3%,0.0%,48,28
2022 Washington R32,W vs Paul,10.4%,60.0%,11.3%,50.0%,22.0%,22.2%,0.0%,11.4%,20.0%,2.3%,33.3%,-3,19
2022 Washington R64,W vs Giron,22.2%,75.0%,11.8%,72.7%,22.6%,40.0%,0.0%,10.0%,50.0%,2.9%,0.0%,49,103
2022 Wimbledon F,L vs Djokovic,14.7%,50.0%,13.9%,55.9%,12.6%,23.1%,0.0%,4.7%,10.0%,3.2%,9.1%,-10,20
2022 Wimbledon QF,W vs Garin,7.2%,28.6%,11.4%,52.2%,14.9%,23.3%,0.0%,2.6%,6.7%,2.6%,71.4%,12,-3
2022 Stuttgart R32,W vs Lehecka,1.9%,100.0%,5.1%,71.4%,27.5%,16.7%,100.0%,10.7%,33.3%,0.9%,0.0%,115,90
2022 Wimbledon R16,W vs Nakashima,3.8%,75.0%,6.2%,77.8%,19.7%,26.1%,33.3%,8.7%,16.7%,2.8%,30.0%,41,56
Career (146 matches),,7.3%,62.9%,9.6%,62.8%,16.6%,20.8%,14.5%,8.9%,18.7%,2.5%,32.2%,7,42
