Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Brisbane R32,L vs Mpetshi Perricard,0.90,0.86,69.6,2.5,14.3%,78.6%,15.7%,80.4%,18.0%,22.0%
2023 Stuttgart R32,L vs Wu,0.85,0.66,48.0,2.4,45.2%,77.4%,3.7%,48.1%,28.6%,27.3%
2022 US Open QF,L vs Khachanov,0.94,0.88,51.0,2.7,24.4%,75.6%,13.5%,63.5%,34.4%,21.1%
2022 US Open R16,W vs Medvedev,1.12,1.28,44.0,2.6,21.9%,65.6%,12.5%,67.9%,39.1%,36.5%
2022 US Open R32,W vs Wolf,1.44,1.85,25.4,2.1,33.3%,71.1%,14.6%,70.7%,33.3%,42.1%
2022 US Open R64,W vs Bonzi,1.06,1.25,44.2,2.3,28.6%,65.7%,15.6%,68.8%,37.8%,39.4%
2022 US Open R128,W vs Kokkinakis,1.26,2.66,26.8,2.0,19.6%,82.6%,10.8%,86.5%,36.7%,28.6%
2022 Cincinnati R64,W vs Davidovich Fokina,1.07,1.41,51.1,2.6,18.4%,65.8%,8.6%,68.6%,36.8%,50.0%
2022 Canada QF,L vs Hurkacz,0.97,0.72,59.0,2.3,17.9%,73.2%,18.4%,63.3%,23.1%,23.4%
2022 Canada R16,W vs De Minaur,1.34,2.28,30.8,2.1,21.7%,73.9%,15.8%,57.9%,60.0%,52.4%
2022 Canada R32,W vs Medvedev,1.09,1.37,55.6,4.2,15.2%,69.6%,11.4%,79.5%,34.0%,29.5%
2022 Canada R64,W vs Baez,1.31,1.59,38.5,2.1,5.7%,65.7%,12.5%,62.5%,44.1%,42.4%
2022 Washington F,W vs Nishioka,1.27,2.15,32.1,2.1,37.0%,77.8%,13.0%,73.9%,41.2%,40.0%
2022 Washington SF,W vs Ymer,1.21,1.71,51.8,2.3,11.1%,75.0%,20.0%,80.0%,31.4%,33.3%
2022 Washington R16,W vs Opelka,1.28,1.82,40.8,2.4,21.9%,65.6%,17.2%,89.7%,39.3%,25.0%
2022 Washington R32,W vs Paul,1.13,1.54,49.1,2.1,28.1%,75.0%,19.4%,64.5%,30.3%,53.6%
2022 Washington R64,W vs Giron,1.24,2.16,38.8,2.4,23.1%,80.8%,33.3%,70.8%,47.8%,35.0%
2022 Wimbledon F,L vs Djokovic,0.97,0.71,40.8,3.3,26.2%,67.7%,21.7%,63.3%,27.9%,22.4%
2022 Wimbledon QF,W vs Garin,1.35,1.36,35.9,2.6,15.5%,56.9%,14.3%,71.4%,37.8%,34.9%
2022 Wimbledon R16,W vs Nakashima,1.13,1.23,43.6,3.9,32.0%,69.3%,16.7%,71.2%,32.1%,32.9%
2025 (1 matches),,0.90,0.86,69.6,2.5,14.3%,78.6%,15.7%,80.4%,18.0%,22.0%
2023 (1 matches),,0.85,0.66,48.0,2.4,45.2%,77.4%,3.7%,48.1%,28.6%,27.3%
2022 (38 matches),,1.11,1.35,46.9,2.5,21.8%,72.0%,16.0%,70.3%,35.5%,34.8%
2021 (7 matches),,1.00,1.07,46.4,4.0,23.1%,71.1%,14.2%,68.7%,31.7%,32.6%
2020 (5 matches),,1.12,1.19,55.0,2.6,22.2%,76.7%,15.7%,67.0%,29.5%,29.7%
Career (304 matches),,1.09,1.18,49.5,2.6,18.0%,70.5%,12.9%,67.7%,32.5%,34.3%
