Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2017 Fed Cup RR,L vs Sasnovich,47% (8/17),33% (3/9),1/1,0/0,62% (8/13),0/2,0/1,- (0/0),- (0/0)
2017 Fed Cup RR,L vs Sabalenka,54% (7/13),38% (3/8),0/0,0/0,67% (8/12),5/7,2/3,67% (4/6),17% (1/6)
2016 Waco TX $50K R32,L vs Crawford,64% (7/11),43% (3/7),0/0,0/0,43% (3/7),2/4,1/2,50% (3/6),33% (2/6)
2016 Macon GA $50K R32,L vs Crawford,75% (9/12),33% (2/6),0/4,0/0,70% (7/10),1/3,0/1,50% (3/6),20% (1/5)
2016 Las Vegas NV $50K R16,L vs Vickery,35% (7/20),45% (5/11),1/2,0/0,57% (8/14),2/4,2/3,- (0/0),- (0/0)
2016 Las Vegas NV $50K R32,W vs Hibi,47% (7/15),63% (5/8),2/3,1/1,78% (7/9),0/0,0/0,- (0/0),- (0/0)
2016 Albuquerque NM $75K QF,L vs Van Uytvanck,60% (6/10),0% (0/5),0/0,0/0,25% (1/4),1/3,1/2,- (0/0),- (0/0)
2016 Albuquerque NM $75K R16,W vs Zarazua,73% (8/11),50% (4/8),2/4,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2016 Albuquerque NM $75K R32,W vs Arconada,78% (7/9),45% (5/11),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2016 Atlanta GA $50K QF,L vs Ahn,60% (9/15),43% (3/7),1/1,0/0,56% (5/9),4/6,4/5,- (0/0),- (0/0)
2016 Atlanta GA $50K R16,W vs Simmonds,57% (8/14),80% (4/5),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2016 Atlanta GA $50K R32,W vs Chang,47% (7/15),45% (5/11),2/2,1/1,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2016 Lexington KY $50K F,W vs Rodionova,57% (8/14),75% (6/8),2/2,1/1,63% (5/8),0/1,0/0,- (0/0),- (0/0)
2016 Lexington KY $50K QF,W vs Sharipova,53% (9/17),50% (4/8),2/4,1/1,56% (9/16),5/6,3/3,100% (9/9),50% (5/10)
2016 Lexington KY $50K R16,W vs Rogowska,70% (7/10),63% (5/8),2/4,1/2,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2016 Lexington KY $50K R32,W vs Dolehide,76% (13/17),33% (4/12),2/3,1/1,83% (5/6),3/4,0/0,- (0/0),- (0/0)
2016 Sacramento CA $50K R32,W vs Santamaria,75% (9/12),41% (9/22),2/7,1/3,56% (9/16),1/2,0/0,45% (5/11),50% (5/10)
2016 Imola $25K F,L vs Kudermetova,50% (6/12),0% (0/7),0/0,0/0,67% (6/9),0/2,0/1,- (0/0),- (0/0)
2016 Imola $25K SF,W vs Paolini,100% (8/8),67% (4/6),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2016 Imola $25K QF,W vs Dentoni,67% (8/12),25% (4/16),2/4,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2017 (2 matches),,50.0%,35.3%,100.0%,-,64.0%,55.6%,50.0%,66.7%,16.7%
2016 (20 matches),,63.2%,45.0%,60.0%,73.7%,65.0%,54.3%,64.7%,62.5%,41.9%
2015 (15 matches),,63.6%,48.4%,58.3%,54.2%,66.3%,46.2%,60.0%,56.7%,54.8%
2014 (6 matches),,59.0%,52.6%,42.9%,36.4%,53.8%,53.8%,60.0%,72.7%,34.8%
2013 (13 matches),,60.7%,51.2%,61.5%,70.0%,48.2%,51.9%,53.8%,52.9%,41.2%
Career (73 matches),,61.6%,44.5%,56.7%,56.0%,55.6%,45.5%,52.3%,61.3%,43.7%
