Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Seoul R32,L vs Daniel,22.1%,26.5%,48.1%,25.1%,22.2%,30.6%,57.1%,28.1%,47.1%,31.6%,33.3%,22.6%,22.6%,37.5%,-32
2020 Columbus CH R16,L vs Vukic,30.9%,39.1%,52.8%,35.9%,37.0%,46.3%,55.9%,47.2%,53.8%,46.4%,100.0%,26.9%,34.6%,50.0%,29
2016 Canada R64,L vs Pouille,34.9%,44.2%,47.5%,41.5%,38.5%,52.6%,64.6%,49.4%,44.4%,54.8%,66.7%,31.9%,34.0%,21.9%,40
Career (3 matches),,30.6%,38.4%,49.5%,35.9%,34.5%,45.8%,60.0%,44.1%,48.1%,47.2%,60.0%,27.7%,31.5%,37.2%,19
