Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,1109,10,,,,,,,,,1490,12,,
2023,294,183,300,1432,274,1417,307,1365,250,1319,,,,
2022,104,553,179,1583,151,1559,234,1454,229,1375,,,,
2021,148,455,223,1526,184,1517,248,1439,234,1358,,,,
2020,160,395,221,1474,194,1463,200,1453,,,437,99,,
2019,146,364,227,1517,207,1489,194,1487,243,1371,360,125,,
2018,369,49,330,1369,301,1353,309,1337,,,684,6,,
2017,508,66,343,1342,314,1335,310,1319,,,897,37,,
2016,294,167,304,1392,265,1387,281,1361,,,404,145,,
2015,319,151,283,1434,240,1425,249,1411,,,305,223,,
2014,321,148,244,1480,217,1468,232,1429,204,1400,411,146,,
2013,307,144,231,1497,248,1431,208,1472,,,370,166,,
2012,605,39,,,,,,,,,837,36,,
2011,1145,4,,,,,,,,,1174,15,,
2010,687,24,,,,,,,,,578,73,,
2009,671,27,,,,,,,,,391,136,,
2008,1823,1,,,,,,,,,1609,4,,
2006,,,,,,,,,,,1661,1,,
