Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),150,394,156,1630,150,1588,143,1582,189,1457,,,,
2025,123,499,113,1675,109,1634,130,1604,170,1480,,,,
2024,65,784,78,1743,73,1707,158,1562,116,1553,1014,32,,
2023,171,358,236,1514,200,1493,,,189,1445,,,,
2022,277,186,,,,,,,,,,,,
