Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Los Cabos R32,W vs Magadan,25.9%,34.1%,52.5%,30.7%,39.0%,56.1%,68.0%,49.0%,42.1%,63.6%,66.7%,15.0%,15.0%,41.2%,32
2025 Australian Open R128,L vs Habib,32.1%,41.1%,52.1%,36.2%,46.9%,60.9%,41.2%,53.9%,37.5%,47.5%,0.0%,13.3%,15.6%,61.5%,16
2024 Beijing SF,L vs Sinner,21.5%,27.8%,52.5%,24.1%,31.7%,41.5%,53.6%,36.6%,50.0%,47.8%,100.0%,11.4%,14.3%,51.6%,-2
2024 Hangzhou SF,L vs Zhang,31.1%,41.0%,61.0%,34.8%,44.1%,50.0%,52.6%,50.6%,57.1%,45.0%,0.0%,15.4%,30.8%,68.2%,-23
2024 US Open R128,L vs Ruud,23.9%,31.5%,35.3%,28.5%,39.1%,52.2%,46.4%,48.3%,31.6%,55.6%,40.0%,9.1%,11.4%,27.5%,-22
2024 Lincoln CH SF,L vs Fearnley,27.1%,29.4%,41.7%,31.8%,32.1%,35.8%,50.0%,39.6%,43.5%,50.0%,66.7%,20.0%,20.0%,29.2%,16
2024 Granby CH SF,W vs Grenier,25.5%,35.3%,47.4%,32.9%,32.3%,45.2%,57.1%,44.5%,46.7%,75.0%,100.0%,15.0%,20.0%,35.3%,-79
2024 Winnipeg CH R16,W vs Polmans,16.7%,23.1%,61.3%,22.9%,23.4%,34.0%,63.9%,33.8%,47.6%,46.2%,100.0%,7.1%,7.1%,57.7%,-47
2024 Guangzhou CH R32,W vs Cina,54.5%,63.6%,50.0%,59.3%,73.1%,84.6%,57.1%,81.2%,61.5%,61.5%,0.0%,27.8%,33.3%,46.2%,-79
2023 Shanghai R64,L vs Korda,34.0%,38.3%,37.9%,37.4%,40.0%,46.7%,44.4%,45.3%,23.5%,61.5%,0.0%,26.7%,26.7%,27.3%,99
Career (10 matches),,27.9%,35.1%,49.3%,32.5%,39.0%,49.6%,53.2%,47.1%,43.2%,53.5%,48.1%,14.6%,17.6%,45.5%,15
