Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Grass,14,9,5,64.3%,0,0,0,-,1967,1981,SF,0,,,,,,,,,,
Roland Garros,7,Clay,17,10,7,58.8%,0,0,0,-,1967,1981,QF,0,,,,,,,,,,
Wimbledon,18,Grass,66,48,18,72.7%,4,3,1,75.0%,1966,1984,SF,0,,,,,,,,,,
US Open,21,Hard,68,47,21,69.1%,6,2,4,33.3%,1964,1985,F,0,,,,,,,,,,
Wightman Cup,3,Carpet,4,1,3,25.0%,0,0,0,-,1967,1977,W,0,,,,,,,,,,
Fed Cup,2,,9,8,1,88.9%,0,0,0,-,1967,1976,,0,,,,,,,,,,
Hilton Head,14,Clay,24,11,13,45.8%,1,0,1,0.0%,1973,1990,W,0,,,,,,,,,,
Los Angeles,12,Hard,39,28,11,71.8%,1,1,0,100.0%,1966,1986,W,0,,,,,,,,,,
San Francisco,10,Carpet,33,25,8,75.8%,6,2,4,33.3%,1964,1977,W,0,,,,,,,,,,
Philadelphia,10,Carpet,32,22,10,68.8%,6,5,1,83.3%,1970,1982,W,0,,,,,,,,,,
Phoenix,10,Hard,30,20,10,66.7%,5,3,2,60.0%,1963,1979,F,0,,,,,,,,,,
Houston,9,Carpet,26,18,8,69.2%,4,2,2,50.0%,1970,1980,W,0,,,,,,,,,,
