Date,Tournament,Surface,Rd,,Score
16-Nov-1970,Wembley,Carpet,F,Casals / Billie Jean King [USA] d. Ann Jones / Virginia Wade [GBR],6-3 7-5
05-Nov-1970,Richmond,Clay,F,(1) Casals / Billie Jean King [USA] d. (2) Mary Ann Eisel / Valerie Ziegenfuss [USA],6-4 6-4
02-Sep-1970,US Open,Grass,F,(1) Margaret Court / Judy Tegart [AUS] d. (2) Casals / Virginia Wade [GBR],6-3 6-4
24-Aug-1970,South Orange,Grass,F,Casals / Virginia Wade [GBR] d. Gail Sherriff / Francoise Durr [FRA],6-3 6-4
11-Aug-1970,Toronto,Clay,F,(1) Casals / Margaret Court [AUS] d. (2) Helen Gourlay [AUS] / Patricia Walkden [RSA],6-0 6-1
27-Jul-1970,Indianapolis,Clay,F,Casals / Gail Sherriff [FRA] d. Helen Gourlay [AUS] / Patricia Walkden [RSA],6-2 6-2
20-Jul-1970,Cincinnati,Clay,F,Casals / Gail Sherriff [FRA] d. Helen Gourlay [AUS] / Patricia Walkden [RSA],12-10 6-1
13-Jul-1970,Gstaad,Clay,F,Casals / Francoise Durr [FRA] d. Helga Masthoff [FRG] / Betty Stove [NED],6-2 6-2
06-Jul-1970,Newport Wales,Grass,F,Casals / Judy Tegart [AUS] d. Ann Jones [GBR] / Patti Hogan [USA],6-3 6-2
22-Jun-1970,Wimbledon,Grass,F,(2) Casals / Billie Jean King [USA] d. (4) Francoise Durr [FRA] / Virginia Wade [GBR],6-2 6-3
15-Jun-1970,Queen's Club,Grass,F,Casals / Billie Jean King [USA] d. Karen Krantzcke / Kerry Reid [AUS],6-4 6-3
25-May-1970,Roland Garros,Clay,F,(3) Gail Sherriff / Francoise Durr [FRA] d. (1) Casals / Billie Jean King [USA],6-1 3-6 6-3
27-Apr-1970,Bournemouth,Clay,F,Margaret Court / Judy Tegart [AUS] d. Casals / Billie Jean King [USA],6-2 6-8 7-5
20-Jan-1969,Australian Open,Grass,F,(2) Margaret Court / Judy Tegart [AUS] d. (1) Casals / Billie Jean King [USA],6-4 6-4
29-Aug-1968,US Open,Grass,F,(3) Maria Bueno [BRA] / Margaret Court [AUS] d. (1) Casals / Billie Jean King [USA],4-6 9-7 8-6
24-Jun-1968,Wimbledon,Grass,F,(1) Casals / Billie Jean King [USA] d. (3) Francoise Durr [FRA] / Ann Jones [GBR],3-6 6-4 7-5
27-May-1968,Roland Garros,Clay,F,(2) Francoise Durr [FRA] / Ann Jones [GBR] d. (1) Casals / Billie Jean King [USA],7-5 4-6 6-4
30-Aug-1967,US National Championships,Grass,F,(1) Casals / Billie Jean King [USA] d. Mary Ann Eisel / Donna Floyd [USA],3-6 6-3 6-4
26-Jun-1967,Wimbledon,Grass,F,Casals / Billie Jean King [USA] d. Maria Bueno [BRA] / Nancy Richey [USA],9-11 6-4 6-2
01-Sep-1966,US National Championships,Grass,F,(1) Maria Bueno [BRA] / Nancy Richey [USA] d. (2) Casals / Billie Jean King [USA],6-3 6-4
