Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1984,172,,,,,,,,,,,,,
1983,,,69,1732,76,1616,95,1603,54,1646,,,,
1982,,,108,1647,84,1570,106,1563,80,1586,,,,
1981,,,56,1740,51,1633,78,1616,49,1632,,,,
1980,,,49,1756,53,1607,,,49,1635,,,,
1979,,,28,1826,32,1667,40,1680,34,1674,,,,
1978,,,16,1875,15,1729,22,1739,31,1691,,,,
1977,,,15,1894,17,1718,29,1736,14,1769,,,,
1976,,,14,1904,17,1701,24,1757,12,1812,,,,
1975,,,18,1882,30,1678,24,1779,9,1824,,,,
1974,,,5,2094,5,1889,5,1990,7,1956,,,,
1973,,,6,2100,7,1919,5,1984,6,1967,,,,
1972,,,8,2003,7,1828,8,1944,8,1958,,,,
1971,,,5,2151,4,1971,5,2045,3,2025,,,,
1970,,,6,2078,6,1891,5,2019,6,1978,,,,
1969,,,8,2014,8,1825,9,1936,6,1940,,,,
1968,,,8,1988,7,1844,13,1893,8,1886,,,,
1967,,,11,1989,6,1842,10,1919,10,1886,,,,
1966,,,11,1941,6,1829,20,1771,8,1870,,,,
1965,,,21,1812,14,1731,27,1703,37,1628,,,,
1964,,,42,1695,22,1622,,,48,1547,,,,
1963,,,51,1659,23,1600,,,,,,,,
1962,,,95,1478,37,1441,,,,,,,,
