Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2023-07-17),1768,1,,,,,,,,,,,,
2022,317,159,251,1492,220,1472,235,1452,146,1493,,,,
2021,204,321,260,1476,240,1436,243,1447,157,1502,,,,
2020,172,379,,,,,,,,,321,168,,
2019,114,482,178,1574,180,1518,176,1506,98,1599,340,135,,
2018,101,573,131,1643,136,1586,143,1550,81,1605,339,104,,
2017,73,701,152,1604,148,1562,185,1501,96,1573,500,104,,
2016,124,484,206,1530,176,1519,214,1456,186,1447,401,148,,
2015,157,362,185,1553,178,1513,165,1526,195,1438,325,203,,
2014,256,192,286,1412,264,1390,245,1409,209,1386,275,246,,
2013,180,282,214,1519,206,1479,197,1490,,,1090,21,,
2012,262,183,258,1469,263,1406,226,1456,204,1424,266,252,,
2011,303,149,298,1405,277,1374,288,1369,,,330,177,,
2010,313,142,295,1431,257,1412,289,1370,,,258,250,,
2009,500,59,350,1365,359,1288,316,1350,,,333,177,,
2008,371,91,379,1301,,,348,1290,,,314,169,,
2007,515,50,,,,,,,,,815,34,,
2006,1541,1,,,,,,,,,,,,
2004,,,,,,,,,,,1760,1,,
