Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2020 Australian Open Q1,L vs Vukic,32.9%,40.0%,53.2%,36.0%,33.3%,38.1%,53.6%,38.6%,41.7%,27.8%,50.0%,32.1%,42.9%,52.6%,-79
2019 US Open R64,L vs Bublik,19.9%,25.5%,60.3%,24.0%,20.8%,25.5%,57.1%,27.1%,25.0%,24.2%,12.5%,21.3%,29.8%,67.6%,82
2019 US Open R128,W vs Thiem,33.0%,38.4%,58.6%,36.3%,35.1%,41.6%,62.0%,39.9%,23.7%,43.6%,66.7%,33.3%,36.7%,50.0%,137
2019 Gstaad R16,W vs Sonego,16.7%,42.3%,69.4%,32.9%,18.0%,52.0%,73.2%,43.4%,20.0%,60.0%,100.0%,16.0%,28.0%,61.9%,39
2019 Gstaad R32,W vs Ehrat,14.7%,23.2%,55.3%,18.7%,17.5%,24.6%,57.4%,24.2%,21.4%,37.9%,40.0%,12.1%,24.2%,51.7%,-2
2019 Wimbledon R64,W vs Karlovic,33.1%,49.4%,65.4%,42.7%,37.8%,55.5%,66.2%,50.7%,26.5%,31.4%,-,21.1%,34.2%,63.3%,32
2019 Wimbledon R128,W vs Tsitsipas,28.9%,39.5%,61.5%,38.6%,34.0%,48.5%,69.1%,48.3%,31.0%,34.4%,16.7%,20.0%,22.2%,47.2%,45
2019 Eastbourne SF,L vs Querrey,25.9%,36.5%,59.0%,33.4%,28.4%,40.3%,62.5%,37.9%,36.7%,27.0%,16.7%,18.8%,25.0%,46.2%,65
2019 Australian Open R64,W vs Opelka,31.9%,39.8%,63.9%,39.2%,33.3%,42.4%,69.3%,42.4%,51.9%,46.2%,50.0%,31.0%,34.5%,40.0%,105
2019 Australian Open R128,W vs Kubler,18.5%,28.9%,55.1%,24.4%,19.2%,30.3%,50.0%,27.2%,72.3%,67.3%,80.0%,18.2%,27.3%,70.4%,47
2018 Australian Open R128,L vs Zverev,18.4%,25.5%,43.9%,22.0%,34.9%,48.8%,50.0%,43.3%,33.3%,31.8%,50.0%,7.3%,9.8%,39.5%,-48
2017 Qingdao CH R32,W vs Maamoun,30.4%,34.8%,65.6%,35.2%,34.5%,41.4%,78.9%,42.1%,46.7%,35.7%,0.0%,23.5%,23.5%,46.2%,-79
2015 Napoli CH SF,L vs Munoz De La Nava,8.5%,13.6%,45.1%,14.2%,7.7%,12.8%,44.4%,16.4%,26.3%,10.0%,0.0%,11.8%,17.6%,46.7%,-8
Career (13 matches),,24.9%,34.7%,58.8%,31.6%,28.2%,39.7%,61.2%,38.1%,36.7%,38.3%,34.7%,20.3%,27.3%,53.5%,77
