Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
4,Simona Waltert [SUI],2,2,50.0%,1,0,1,0.0%,2019,2025,2,1.14,8.1%,6.6%,62.4%,69.1%,48.6%,61.4%,44.1%,68.2%,35.7%
3,Naiktha Bains [GBR],1,2,33.3%,0,0,0,-,2024,2025,3,0.92,2.2%,6.6%,59.8%,62.8%,44.6%,55.5%,41.0%,53.3%,55.6%
3,Barbora Palicova [CZE],1,2,33.3%,2,1,1,50.0%,2021,2025,1,1.19,13.2%,11.4%,59.6%,77.9%,47.8%,65.8%,40.6%,60.0%,25.0%
3,Yuriko Miyazaki [GBR],0,3,0.0%,1,1,0,100.0%,2023,2024,0,,,,,,,,,,
3,Freya Christie [GBR],3,0,100.0%,2,2,0,100.0%,2023,2024,0,,,,,,,,,,
3,Eliz Maloney [GBR],1,2,33.3%,1,0,1,0.0%,2022,2022,0,,,,,,,,,,
3,Alba Carrillo Marin [ESP],3,0,100.0%,3,2,1,66.7%,2019,2020,0,,,,,,,,,,
3,Cherry Kim [KOR],2,1,66.7%,1,0,1,0.0%,2018,2018,0,,,,,,,,,,
2,Louisa Chirico [USA],0,2,0.0%,1,0,1,0.0%,2024,2026,1,0.71,2.5%,2.5%,58.0%,51.1%,52.9%,51.9%,34.3%,71.4%,28.6%
2,Kaitlin Quevedo [ESP],0,2,0.0%,0,0,0,-,2025,2026,2,0.85,10.2%,7.1%,53.5%,69.1%,49.2%,59.8%,34.3%,66.7%,13.3%
2,Julia Avdeeva [RUS],1,1,50.0%,2,1,1,50.0%,2020,2026,1,0.57,7.1%,3.5%,63.5%,57.4%,58.1%,57.6%,24.2%,75.0%,50.0%
2,Victoria Hu [USA],1,1,50.0%,0,0,0,-,2024,2025,2,1.06,0.8%,15.0%,56.4%,68.0%,34.5%,53.4%,49.6%,46.7%,39.1%
2,Alicia Dudeney [GBR],1,1,50.0%,0,0,0,-,2024,2025,1,1.10,8.5%,8.5%,60.6%,69.8%,39.3%,57.7%,46.3%,0.0%,55.6%
2,Veronika Erjavec [SLO],0,2,0.0%,0,0,0,-,2022,2025,1,0.77,0.0%,11.0%,56.2%,56.1%,43.8%,50.7%,38.2%,50.0%,40.0%
2,Alyssa Reguer [FRA],2,0,100.0%,0,0,0,-,2023,2025,1,1.13,3.8%,10.1%,53.2%,69.0%,45.9%,58.2%,47.4%,63.6%,45.5%
