Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 Roland Garros R128,L vs Bublik,73% (8/11),31% (4/13),0/0,0/0,56% (9/16),1/4,0/1,- (0/0),- (0/0)
2024 Bordeaux CH R16,W vs Murray,55% (6/11),86% (6/7),2/3,1/1,50% (3/6),0/0,0/0,- (0/0),- (0/0)
2024 Bucharest SF,L vs Navone,42% (5/12),40% (2/5),0/0,0/0,64% (9/14),4/6,1/2,- (0/0),- (0/0)
2024 Quimper CH R32,L vs Virtanen,64% (9/14),0% (0/4),0/0,0/0,71% (5/7),1/3,1/2,- (0/0),- (0/0)
2024 Australian Open R128,L vs Paul,67% (8/12),0% (0/4),0/0,0/0,29% (2/7),0/3,0/1,- (0/0),- (0/0)
2023 Antwerp R16,L vs Bublik,75% (6/8),0% (0/3),0/0,0/0,0% (0/3),1/3,1/2,- (0/0),- (0/0)
2023 US Open R128,L vs Mensik,64% (16/25),50% (2/4),1/2,0/0,56% (5/9),3/6,1/2,25% (1/4),0% (0/4)
2023 Wimbledon R64,L vs Shapovalov,62% (13/21),0% (0/1),0/1,0/0,60% (3/5),1/4,1/2,63% (5/8),25% (2/8)
2023 Wimbledon R128,W vs Harris,59% (20/34),46% (6/13),3/6,1/1,80% (8/10),5/6,0/0,60% (3/5),17% (1/6)
2023 Stuttgart R32,W vs Otte,82% (9/11),43% (3/7),2/3,1/2,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2023 Banja Luka R16,L vs Lajovic,22% (2/9),20% (1/5),0/0,0/0,50% (5/10),1/3,0/1,- (0/0),- (0/0)
2023 Miami R32,L vs Eubanks,80% (8/10),100% (1/1),0/5,0/0,50% (2/4),0/2,0/1,63% (5/8),25% (2/8)
2021 Wimbledon R128,L vs Van De Zandschulp,57% (12/21),75% (3/4),1/2,0/0,63% (12/19),1/4,0/1,60% (6/10),36% (4/11)
2021 Roland Garros R128,L vs Fognini,54% (7/13),22% (2/9),0/0,0/0,54% (7/13),0/3,0/1,- (0/0),- (0/0)
2021 Lille CH F,L vs Bergs,73% (8/11),63% (5/8),1/3,0/0,56% (9/16),4/6,2/3,67% (4/6),17% (1/6)
2020 Roland Garros R128,L vs Dimitrov,50% (5/10),25% (2/8),0/0,0/0,71% (17/24),5/8,0/1,- (0/0),- (0/0)
2020 US Open R64,L vs Rublev,59% (10/17),29% (2/7),0/0,0/0,17% (1/6),2/5,0/1,80% (4/5),0% (0/6)
2020 US Open R128,W vs Daniel,57% (16/28),42% (5/12),3/3,1/1,67% (4/6),1/2,0/0,- (0/0),- (0/0)
2020 Australian Open R64,L vs Pella,92% (12/13),22% (2/9),1/1,0/0,55% (6/11),3/6,0/1,- (0/0),- (0/0)
2020 Australian Open R128,W vs Safwat,55% (18/33),32% (6/19),3/6,1/1,58% (7/12),5/6,0/0,74% (14/19),42% (8/19)
2024 (5 matches),,60.0%,36.4%,66.7%,100.0%,56.0%,37.5%,33.3%,-,-
2023 (7 matches),,62.7%,38.2%,35.3%,66.7%,60.9%,45.8%,37.5%,56.0%,19.2%
2021 (3 matches),,60.0%,47.6%,40.0%,-,58.3%,38.5%,40.0%,62.5%,29.4%
2020 (5 matches),,60.4%,30.9%,70.0%,100.0%,59.3%,59.3%,0.0%,75.0%,32.0%
2019 (45 matches),,66.4%,42.4%,50.8%,50.0%,60.4%,47.0%,25.0%,61.5%,42.2%
Career (101 matches),,62.9%,39.5%,50.0%,55.8%,58.4%,45.0%,39.6%,62.2%,37.4%
