Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 Roland Garros R128,L vs Bublik,4.1,5.2,3.2,42.9%,58.0%,45.5%,43.5%,52.4%,12.4%,-11.0,-7.1,0.5,0.3
2024 Bordeaux CH R16,W vs Murray,4.3,4.2,4.5,61.8%,52.5%,35.7%,77.8%,35.9%,12.9%,9.5,12.5,9.5,7.9
2024 Bucharest SF,L vs Navone,5.8,6.4,5.0,43.1%,42.9%,52.0%,38.1%,51.2%,8.0%,5.5,3.4,-1.5,-1.0
2024 Quimper CH R32,L vs Virtanen,3.1,3.0,3.1,47.5%,40.6%,60.0%,37.5%,58.6%,17.5%,1.0,1.2,2.5,4.8
2024 Australian Open R128,L vs Paul,3.7,4.0,3.4,37.8%,48.5%,40.0%,20.0%,48.5%,17.5%,9.0,10.6,-10.0,-11.9
2023 Antwerp R16,L vs Bublik,3.8,4.7,2.9,43.1%,38.5%,58.3%,16.7%,49.7%,11.7%,-0.5,-0.8,-3.5,-5.1
2023 US Open R128,L vs Mensik,3.8,4.0,3.7,47.5%,46.0%,58.6%,31.6%,53.0%,9.4%,10.0,5.0,-5.0,-2.9
2023 Washington R64,W vs Mochizuki,3.8,3.8,3.9,54.3%,51.1%,48.0%,64.3%,39.9%,8.2%,7.0,5.7,19.5,10.9
2023 Canada R64,L vs Berrettini,3.9,4.5,3.0,35.6%,45.8%,46.2%,62.5%,57.0%,10.3%,-2.5,-3.2,2.5,4.2
2023 Stuttgart R32,W vs Otte,2.9,2.9,2.8,59.5%,48.4%,54.5%,0.0%,48.1%,14.9%,8.0,13.8,6.5,11.6
2023 Banja Luka R16,L vs Lajovic,4.0,4.6,3.4,39.0%,42.3%,11.1%,25.0%,50.3%,23.8%,-5.0,-6.9,2.0,3.3
2023 Miami R32,L vs Eubanks,3.0,3.3,2.6,45.1%,54.2%,44.4%,33.3%,56.3%,16.4%,4.0,5.9,-2.0,-4.3
2021 Wimbledon R128,L vs Van De Zandschulp,4.0,4.3,3.7,49.3%,48.3%,26.9%,31.8%,51.1%,21.1%,1.0,0.6,1.5,1.0
2021 Lille CH F,L vs Bergs,4.3,4.8,3.5,47.9%,43.2%,55.0%,26.7%,58.3%,13.5%,5.0,3.0,2.0,1.9
2020 US Open R64,L vs Rublev,3.3,3.6,3.1,43.8%,44.1%,35.7%,41.7%,48.5%,14.2%,3.0,2.7,2.5,2.5
2019 Orleans CH F,L vs Ymer,4.6,4.0,5.2,49.2%,36.7%,38.9%,44.4%,50.2%,9.6%,-3.0,-2.7,-8.5,-8.2
2019 Metz QF,L vs Paire,3.3,3.7,2.8,47.6%,39.5%,58.8%,-,52.5%,14.3%,8.0,10.0,-1.0,-1.6
2019 Metz R16,W vs Hoang,3.3,2.6,3.9,52.1%,61.9%,43.8%,77.8%,36.6%,19.2%,5.5,6.6,11.0,8.8
2016 Granby CH R16,L vs Shapovalov,2.8,2.7,2.9,41.3%,26.9%,66.7%,50.0%,49.5%,19.6%,0.0,0.0,-3.0,-8.3
Career (19 matches),,3.8,4.1,3.5,47.2%,46.7%,46.0%,41.2%,49.6%,13.8%,2.9,2.7,1.3,1.4
