Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),848,29,247,1512,223,1492,214,1488,,,,,,
2025,516,81,246,1518,220,1495,212,1491,,,,,,
2024,162,371,155,1620,153,1562,132,1593,104,1567,291,225,,
2023,84,708,86,1716,88,1662,124,1602,56,1638,,,,
2022,90,603,94,1711,80,1676,146,1574,71,1612,,,,
2021,166,417,159,1598,134,1578,177,1519,100,1573,,,,
2020,109,647,101,1683,87,1641,123,1572,,,192,380,,
2019,82,648,80,1731,77,1693,108,1601,77,1634,222,290,,
2018,163,322,219,1515,215,1463,196,1487,137,1507,516,30,,
2017,624,43,,,,,,,,,383,142,,
2016,247,212,295,1405,292,1349,253,1405,209,1388,239,300,,
2015,265,198,369,1299,347,1280,357,1236,,,508,116,,
2014,440,92,,,,,,,,,391,155,,
2013,725,28,,,,,,,,,,,,
2012,1024,8,,,,,,,,,969,25,,
2011,1618,1,,,,,,,,,1364,8,,
