Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Roland Garros R128,L vs Bublik,41,44,0.9,19.2%,20.6%,39,41,1.0,21.0%,22.0%,9.7%,4.8%,1.3,26.6%,20.6%
2024 Bordeaux CH R16,W vs Murray,25,24,1.0,21.2%,20.3%,22,21,1.0,19.8%,18.9%,9.9%,9.9%,0.6,9.3%,16.9%
2024 Bucharest SF,L vs Navone,11,27,0.4,8.3%,20.5%,10,26,0.4,7.8%,20.2%,5.4%,2.3%,0.8,15.9%,18.9%
2024 Quimper CH R32,L vs Virtanen,15,18,0.8,10.3%,12.3%,11,15,0.7,9.1%,12.4%,5.0%,1.7%,1.8,30.1%,17.1%
2024 Australian Open R128,L vs Paul,33,27,1.2,23.1%,18.9%,27,25,1.1,21.8%,20.2%,8.9%,2.4%,2.6,31.5%,11.9%
2023 Antwerp R16,L vs Bublik,13,22,0.6,12.7%,21.6%,12,22,0.5,14.3%,26.2%,4.8%,1.2%,1.5,33.3%,21.6%
2023 US Open R128,L vs Mensik,30,43,0.7,11.7%,16.8%,27,39,0.7,11.6%,16.8%,8.2%,3.4%,1.0,17.6%,17.2%
2023 Canada Masters R64,L vs Berrettini,20,22,0.9,19.2%,21.2%,15,19,0.8,17.6%,22.4%,5.9%,4.7%,2.2,33.7%,15.4%
2023 Washington R64,W vs Mochizuki,22,20,1.1,11.3%,10.3%,14,16,0.9,8.0%,9.1%,5.1%,2.3%,0.8,18.5%,24.6%
2023 Wimbledon R64,L vs Shapovalov,18,27,0.7,9.1%,13.7%,13,27,0.5,7.6%,15.8%,2.3%,4.7%,1.4,22.8%,16.8%
2023 Wimbledon R128,W vs Harris,36,45,0.8,11.4%,14.2%,25,45,0.6,8.9%,16.1%,5.7%,2.9%,0.8,18.0%,21.8%
2023 Stuttgart R32,W vs Otte,23,17,1.4,18.9%,13.9%,18,13,1.4,18.4%,13.3%,12.2%,6.1%,0.7,15.6%,21.3%
2023 Banja Luka R16,L vs Lajovic,15,22,0.7,14.7%,21.6%,15,21,0.7,15.3%,21.4%,5.1%,4.1%,2.7,34.3%,12.7%
2023 Miami Masters R32,L vs Eubanks,16,10,1.6,12.6%,7.9%,15,10,1.5,13.4%,8.9%,6.3%,5.4%,2.0,26.8%,13.4%
2021 Wimbledon R128,L vs Van De Zandschulp,22,35,0.6,8.5%,13.5%,18,33,0.5,7.8%,14.2%,5.2%,2.6%,1.3,20.0%,15.0%
2021 Roland Garros R128,L vs Fognini,10,42,0.2,5.2%,21.8%,10,42,0.2,5.6%,23.5%,,,0.6,15.0%,24.4%
2021 Lille CH F,L vs Bergs,14,32,0.4,8.0%,18.3%,13,30,0.4,8.0%,18.5%,6.2%,1.9%,0.7,16.0%,22.9%
2020 Roland Garros R128,L vs Dimitrov,21,38,0.6,11.1%,20.1%,21,38,0.6,12.2%,22.1%,,,0.6,11.1%,17.5%
2020 US Open R64,L vs Rublev,26,25,1.0,14.4%,13.8%,19,24,0.8,12.0%,15.2%,4.4%,5.7%,1.6,19.9%,12.7%
2020 US Open R128,W vs Daniel,52,34,1.5,22.7%,14.8%,37,29,1.3,18.7%,14.6%,11.6%,7.1%,0.9,13.5%,14.8%
Career (35 matches),,901,1104,0.8,13.5%,16.5%,769,1022,0.8,13.0%,17.3%,5.3%,3.4%,1.1,17.4%,16.5%
