Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Roland Garros R128,L vs Bublik,58.6%,52.9%,0.9%,1/0,-,32.1%,55.6%,57.1%,1.6%,-,51.0%,80.5%,48.5%,0.0%,-,0.0%
2024 Bordeaux CH R16,W vs Murray,89.3%,64.0%,8.9%,2/3,2.17,4.4%,79.2%,63.2%,4.2%,2.24,4.0%,100.0%,64.5%,12.9%,2.08,5.0%
2024 Bucharest SF,L vs Navone,80.7%,45.7%,3.5%,1/1,2.22,2.9%,75.6%,35.5%,0.0%,2.25,4.5%,93.8%,66.7%,12.5%,2.17,0.0%
2024 Quimper CH R32,L vs Virtanen,52.2%,41.7%,11.6%,7/1,1.98,13.0%,41.5%,29.4%,2.4%,1.98,24.0%,79.2%,52.6%,29.2%,1.98,0.0%
2024 Australian Open R128,L vs Paul,48.6%,38.2%,7.1%,2/3,2.42,7.7%,43.2%,36.8%,2.3%,2.28,13.8%,62.5%,40.0%,16.7%,2.61,0.0%
2023 Antwerp R16,L vs Bublik,46.2%,33.3%,0.0%,0/0,-,33.3%,43.3%,30.8%,0.0%,-,50.0%,68.8%,36.4%,0.0%,-,11.8%
2023 US Open R128,L vs Mensik,58.1%,46.7%,3.1%,2/2,2.25,5.6%,54.3%,36.8%,4.3%,2.14,9.4%,67.3%,56.8%,1.8%,2.39,0.0%
2023 Washington R64,W vs Mochizuki,77.1%,51.6%,5.1%,2/4,2.46,12.1%,78.3%,44.7%,3.3%,2.31,20.6%,86.3%,59.1%,7.8%,2.67,0.0%
2023 Canada R64,L vs Berrettini,48.8%,38.1%,2.3%,1/0,-,30.4%,41.2%,35.7%,0.0%,-,73.7%,87.5%,42.9%,12.5%,-,0.0%
2023 Stuttgart R32,W vs Otte,58.5%,50.0%,3.1%,2/0,2.15,21.4%,56.3%,44.4%,3.1%,2.00,42.9%,80.0%,55.0%,4.0%,2.29,0.0%
2023 Banja Luka R16,L vs Lajovic,67.3%,45.5%,6.1%,3/0,-,13.6%,69.4%,40.0%,5.6%,-,18.5%,61.5%,62.5%,7.7%,-,5.9%
2023 Miami R32,L vs Eubanks,54.5%,44.4%,3.0%,1/1,2.36,37.5%,55.6%,46.7%,0.0%,2.00,50.0%,60.0%,33.3%,20.0%,2.91,18.8%
2021 Wimbledon R128,L vs Van De Zandschulp,65.9%,38.8%,5.4%,4/3,2.22,2.2%,61.0%,38.3%,2.6%,2.12,3.4%,86.4%,39.5%,11.4%,2.40,0.0%
2021 Lille CH F,L vs Bergs,64.1%,54.0%,6.4%,4/1,2.30,7.6%,57.6%,50.0%,5.1%,2.28,8.7%,94.1%,62.5%,11.8%,2.33,5.0%
2020 US Open R64,L vs Rublev,55.2%,49.1%,2.1%,1/1,2.55,8.6%,43.1%,44.0%,0.0%,2.44,15.6%,77.8%,53.6%,5.6%,2.69,0.0%
2019 Orleans CH F,L vs Ymer,70.0%,28.6%,1.7%,1/0,2.63,16.7%,69.8%,20.0%,0.0%,2.76,19.0%,75.0%,50.0%,6.3%,2.43,13.3%
2019 Metz QF,L vs Paire,57.4%,40.0%,8.2%,3/2,2.57,34.5%,50.0%,35.0%,2.5%,2.62,52.6%,78.9%,46.7%,21.1%,2.48,0.0%
2019 Metz R16,W vs Hoang,70.3%,57.7%,5.0%,3/2,2.20,18.4%,65.7%,60.9%,2.9%,2.12,30.0%,86.2%,52.0%,10.3%,2.34,0.0%
2016 Granby CH R16,L vs Shapovalov,57.5%,34.8%,15.0%,3/3,2.54,28.6%,57.1%,41.7%,9.5%,2.63,50.0%,64.7%,27.3%,23.5%,2.43,0.0%
Career (19 matches),,62.6%,46.8%,4.8%,61.4%,2.33,15.7%,58.0%,42.9%,2.5%,2.27,24.9%,79.5%,51.9%,9.8%,2.41,2.4%
