Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,107,35,72,32.7%,87-155,36.0%,1009-1240,44.9%,6-18,25.0%,97,57.7%,30.6%,4.4%,6.3%,55.1%,63.0%,43.5%,54.3%,41.0%,47.7%,0.90
Clay,104,57,47,54.8%,126-111,53.2%,1092-1040,51.2%,6-7,46.2%,89,64.1%,35.6%,4.7%,6.4%,53.5%,65.0%,46.6%,56.4%,42.9%,49.8%,0.98
Grass,6,0,6,0.0%,0-12,0.0%,38-75,33.6%,0-2,0.0%,6,60.5%,8.1%,4.8%,9.4%,49.3%,67.4%,41.8%,54.4%,26.9%,41.9%,0.59
Grand Slams,35,11,24,31.4%,26-52,33.3%,309-412,42.9%,3-5,37.5%,34,55.9%,26.3%,4.8%,6.0%,54.4%,63.4%,43.0%,54.1%,37.5%,46.0%,0.82
Premiers,37,16,21,43.2%,35-46,43.2%,358-394,47.6%,2-5,28.6%,35,67.5%,32.3%,4.9%,6.1%,53.6%,66.6%,47.5%,57.7%,42.0%,49.8%,0.99
Internationals,117,52,65,44.4%,123-149,45.2%,1218-1288,48.6%,6-15,28.6%,106,62.5%,33.2%,4.2%,6.6%,54.3%,64.4%,45.7%,55.9%,42.2%,49.2%,0.96
Finals,3,0,3,0.0%,1-6,14.3%,20-39,33.9%,0-0,-,2,63.6%,13.6%,3.1%,5.5%,52.1%,68.2%,43.6%,56.4%,37.1%,46.9%,0.85
Semi-finals,7,3,4,42.9%,7-9,43.8%,69-80,46.3%,0-1,0.0%,6,53.3%,32.8%,3.4%,4.6%,54.8%,58.8%,43.1%,51.7%,43.0%,47.5%,0.89
Quarter-finals,18,7,11,38.9%,20-25,44.4%,197-215,47.8%,0-2,0.0%,16,64.4%,31.3%,4.7%,6.2%,55.1%,63.7%,48.2%,56.7%,41.7%,49.2%,0.96
vs Righties,200,85,115,42.5%,196-257,43.3%,1970-2172,47.6%,11-24,31.4%,178,60.7%,32.5%,4.6%,6.5%,54.3%,63.9%,44.8%,55.2%,41.5%,48.4%,0.93
vs Lefties,16,6,10,37.5%,15-21,41.7%,157-181,46.4%,1-3,25.0%,13,61.3%,30.3%,4.0%,5.8%,52.8%,65.1%,45.9%,56.0%,41.6%,48.7%,0.95
vs Top 10,13,3,10,23.1%,7-21,25.0%,92-152,37.7%,0-1,0.0%,12,56.3%,22.4%,3.8%,5.7%,56.2%,63.7%,37.8%,52.4%,37.0%,44.9%,0.78
