Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,2,0,2,0.0%,1-4,20.0%,15-29,34.1%,0-1,0.0%,2,38.1%,31.8%,2.9%,11.5%,45.3%,55.6%,31.6%,42.4%,40.3%,41.3%,0.70,R32 (2x)
2024,5,2,3,40.0%,4-4,50.0%,35-37,48.6%,0-0,-,0,,,,,,,,,,,,R16 (2x)
2023,12,8,4,66.7%,17-11,60.7%,135-121,52.7%,0-0,-,4,63.6%,24.4%,4.5%,10.1%,52.4%,68.2%,40.1%,54.9%,37.9%,46.7%,0.84,W (W100 Oeiras)
2022,24,17,7,70.8%,35-19,64.8%,286-223,56.2%,4-5,44.4%,23,69.1%,44.7%,4.1%,5.7%,54.9%,67.3%,46.5%,57.9%,47.5%,52.9%,1.13,W (W100 Wiesbaden)
2021,3,1,2,33.3%,3-5,37.5%,41-39,51.2%,0-2,0.0%,1,66.7%,10.0%,3.8%,5.8%,51.9%,74.1%,44.0%,59.6%,27.5%,43.7%,0.68,R16 (W80+H Le Neubourg)
2020,3,2,1,66.7%,4-2,66.7%,30-24,55.6%,1-0,100.0%,0,,,,,,,,,,,,QF (W100+H Dubai)
2019,54,40,14,74.1%,83-43,65.9%,631-487,56.4%,5-3,62.5%,9,74.7%,42.1%,4.7%,5.3%,58.6%,66.5%,52.2%,60.6%,46.7%,53.3%,1.18,W (3x)
2018,31,15,16,48.4%,37-35,51.4%,331-318,51.0%,2-3,40.0%,7,60.5%,48.8%,3.3%,7.6%,57.8%,61.9%,44.9%,54.7%,48.9%,52.0%,1.08,SF (Shenzhen $100K)
2017,25,16,9,64.0%,33-24,57.9%,280-246,53.2%,3-4,42.9%,3,55.6%,44.1%,3.3%,11.3%,57.3%,58.4%,41.2%,51.0%,45.7%,48.5%,0.93,F (3x)
2016,5,5,0,100.0%,9-0,100.0%,54-22,71.1%,0-0,-,0,,,,,,,,,,,,W (Marseille $100K)
2015,23,16,7,69.6%,35-16,68.6%,266-210,55.9%,1-1,50.0%,0,,,,,,,,,,,,W (Trnava $100K)
2014,17,9,8,52.9%,22-16,57.9%,175-153,53.4%,2-1,66.7%,1,-,-,4.7%,7.0%,53.5%,47.8%,40.0%,44.2%,27.9%,36.0%,0.50,W (Saint Gaudens 50K)
2013,47,30,17,63.8%,67-42,61.5%,562-450,55.5%,6-4,60.0%,0,,,,,,,,,,,,W (2x)
2012,38,22,16,57.9%,49-36,57.6%,410-356,53.5%,4-5,44.4%,0,,,,,,,,,,,,W (2x)
2011,30,20,10,66.7%,44-23,65.7%,318-234,57.6%,0-1,0.0%,0,,,,,,,,,,,,W (Bals 10K)
2010,21,13,8,61.9%,26-21,55.3%,228-195,53.9%,1-1,50.0%,0,,,,,,,,,,,,W (Dobrich 10K)
2009,3,1,2,33.3%,2-4,33.3%,17-28,37.8%,0-0,-,0,,,,,,,,,,,,R16 (Podgorica 25K)
Career,343,217,126,63.3%,471-305,60.7%,3814-3172,54.6%,29-31,48.3%,50,66.2%,42.0%,4.0%,6.9%,55.5%,65.2%,45.4%,56.4%,45.9%,51.2%,1.05,
