Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),148,426,230,1532,232,1484,286,1414,143,1518,,,,
2025,128,482,229,1535,224,1491,274,1416,142,1520,,,,
2024,125,474,207,1549,216,1488,282,1406,105,1567,495,100,,
2023,199,306,126,1644,112,1616,317,1354,132,1524,,,,
2022,355,135,407,1259,382,1264,388,1203,251,1280,,,,
2021,436,88,,,,,,,,,,,,
2020,788,22,,,,,,,,,884,33,,
2019,909,12,,,,,,,,,1134,17,,
2018,,,,,,,,,,,892,1,,
2017,646,39,,,,,,,,,856,42,,
2016,1074,9,,,,,,,,,946,34,,
2015,1185,7,,,,,,,,,730,65,,
