Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Guangzhou R16,L vs Cocciaretto,0.0%,-,4.9%,50.0%,18.6%,23.3%,0.0%,18.1%,38.9%,0.8%,50.0%,113,87
2025 Roland Garros Q3,L vs Sierra,0.0%,-,3.4%,50.0%,19.3%,20.0%,22.2%,16.1%,23.1%,1.0%,0.0%,24,-12
2024 Hong Kong R32,W vs Inoue,0.0%,-,5.1%,100.0%,19.1%,22.2%,0.0%,15.1%,16.7%,0.0%,-,125,97
2024 Hua Hin R16,L vs Siegemund,0.0%,-,12.8%,62.1%,12.9%,19.0%,11.1%,13.1%,45.5%,0.5%,0.0%,39,24
2024 Olympics R16,L vs Swiatek,0.0%,-,4.9%,50.0%,12.8%,15.8%,9.1%,16.9%,14.3%,0.4%,0.0%,41,28
2024 Madrid R64,L vs Swiatek,0.0%,-,1.0%,100.0%,12.0%,25.0%,0.0%,2.4%,0.0%,0.0%,-,-33,-9
2024 Austin F,L vs Yuan,0.0%,-,4.9%,75.0%,7.1%,8.7%,9.1%,13.2%,0.0%,0.0%,-,19,30
2024 Hua Hin R32,W vs Wang,0.0%,-,6.6%,80.0%,20.7%,12.5%,0.0%,9.8%,12.5%,0.0%,-,77,66
2023 Guangzhou F,W vs Linette,0.0%,-,4.3%,0.0%,20.5%,33.3%,26.7%,26.0%,33.3%,0.0%,-,65,55
2023 Roland Garros R128,L vs Garcia,0.0%,-,1.4%,66.7%,24.4%,53.8%,0.0%,16.7%,25.0%,0.0%,-,89,119
2023 Madrid R64,W vs Andreescu,0.0%,-,6.2%,64.3%,25.5%,35.7%,18.2%,20.0%,45.5%,1.0%,33.3%,74,94
2022 Australian Open R128,W vs Hruncakova,0.0%,-,2.5%,100.0%,21.9%,38.5%,16.7%,18.3%,42.9%,0.5%,0.0%,-41,38
2021 BJK Cup RR,W vs Pattinama Kerkhove,0.0%,-,5.6%,70.0%,14.6%,35.0%,0.0%,14.9%,45.5%,0.5%,100.0%,61,97
2021 BJK Cup RR,W vs Rus,0.0%,-,12.4%,52.4%,16.6%,31.9%,100.0%,20.3%,33.3%,0.9%,33.3%,60,39
2021 Lyon R32,L vs Rus,1.1%,0.0%,10.9%,63.2%,16.8%,23.4%,100.0%,11.2%,38.5%,0.3%,0.0%,165,131
2020 Acapulco SF,L vs Watson,0.0%,-,10.1%,66.7%,12.8%,21.1%,14.3%,18.9%,16.7%,0.0%,-,76,91
2019 Miami R64,L vs Bertens,0.0%,-,8.9%,55.6%,6.0%,5.3%,0.0%,12.1%,30.0%,0.6%,0.0%,60,62
2019 Miami R128,W vs Puig,0.0%,-,4.8%,80.0%,17.5%,28.6%,33.3%,17.6%,66.7%,0.0%,-,34,48
2018 Wuhan R32,L vs Kasatkina,0.0%,-,6.4%,72.7%,12.6%,17.4%,9.1%,5.4%,11.8%,0.5%,0.0%,43,5
Last 52 Weeks (2 matches),,0.0%,-,4.3%,50.0%,19.0%,22.0%,15.4%,17.3%,32.3%,0.9%,25.0%,73,44
Career (19 matches),,0.1%,0.0%,6.5%,63.7%,15.6%,23.8%,11.6%,14.8%,28.6%,0.4%,21.1%,60,58
