Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-06-24),1300,5,,,,,,,,,1092,24,,
2023,1006,17,,,,,,,,,,,,
2022,581,60,,,,,,,,,,,,
2021,664,54,,,,,,,,,,,,
2020,635,51,,,,,,,,,821,41,,
2019,619,47,,,,,,,,,959,23,,
2018,746,10,,,,,,,,,,,,
2017,1095,6,,,,,,,,,995,16,,
2016,699,26,,,,,,,,,574,65,,
2015,589,40,,,,,,,,,537,71,,
2014,738,20,,,,,,,,,1175,6,,
2013,702,35,,,,,,,,,414,128,,
2012,1059,6,,,,,,,,,1227,3,,
2011,,,,,,,,,,,1141,10,,
