Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
6,Rutuja Bhosale [IND],3,3,50.0%,1,1,0,100.0%,2014,2022,0,,,,,,,,,,
5,Bhuvana Kalva [IND],3,2,60.0%,0,0,0,-,2011,2019,0,,,,,,,,,,
5,Riya Bhatia [IND],5,0,100.0%,0,0,0,-,2014,2016,0,,,,,,,,,,
4,Soha Sadiq [IND],3,1,75.0%,1,1,0,100.0%,2019,2024,0,,,,,,,,,,
4,Zeel Desai [IND],1,3,25.0%,2,1,1,50.0%,2018,2023,0,,,,,,,,,,
4,Ching Wen Hsu [TPE],0,4,0.0%,0,0,0,-,2013,2017,0,,,,,,,,,,
4,Prarthana G Thombare [IND],1,3,25.0%,1,0,1,0.0%,2013,2016,0,,,,,,,,,,
3,Diana Marcinkevica [LAT],1,2,33.3%,2,2,0,100.0%,2019,2022,0,,,,,,,,,,
3,Pranjala Yadlapalli [IND],1,2,33.3%,0,0,0,-,2016,2021,0,,,,,,,,,,
3,Hiroko Kuwata [JPN],1,2,33.3%,1,1,0,100.0%,2018,2019,1,0.58,2.4%,2.4%,51.2%,57.1%,30.0%,43.9%,32.6%,0.0%,50.0%
3,Rishika Sunkara [IND],1,2,33.3%,0,0,0,-,2013,2016,0,,,,,,,,,,
3,Sabina Sharipova [UZB],1,2,33.3%,0,0,0,-,2010,2016,0,,,,,,,,,,
2,Shrivalli Rashmikaa Bhamidipaty [IND],1,1,50.0%,1,0,1,0.0%,2022,2022,0,,,,,,,,,,
2,Ekaterina Reyngold [RUS],0,2,0.0%,1,0,1,0.0%,2021,2022,0,,,,,,,,,,
2,Ines Ibbou [ALG],0,2,0.0%,2,1,1,50.0%,2016,2022,0,,,,,,,,,,
