Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1998 US Open R128,L vs Martin,25.5%,38.8%,54.4%,31.8%,29.3%,46.6%,48.8%,40.0%,16.0%,39.4%,0.0%,22.9%,31.4%,63.0%,40
Career (1 matches),,25.5%,38.8%,54.4%,31.8%,29.3%,46.6%,48.8%,40.0%,16.0%,39.4%,0.0%,22.9%,31.4%,63.0%,40
