Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 ITF Bistrita SF,L vs Bulgaru,16.3%,18.4%,20.5%,19.4%,22.6%,20.0%,42.9%,52.9%,50.0%,12.5%,12.5%,21.4%,11.1%,85.7%,50.0%,9
2023 Roland Garros R128,L vs Liu,19.6%,23.5%,35.9%,22.2%,27.8%,42.9%,43.8%,30.0%,25.0%,15.4%,15.4%,18.2%,37.5%,80.0%,100.0%,35
2019 Lugano R32,L vs Pliskova,22.1%,29.4%,50.0%,25.5%,31.9%,51.4%,68.0%,31.8%,33.3%,21.4%,35.7%,45.5%,50.0%,50.0%,50.0%,46
Last 52 Weeks (1 matches),,16.3%,18.4%,20.5%,19.4%,22.6%,20.0%,42.9%,52.9%,50.0%,12.5%,12.5%,21.4%,11.1%,85.7%,50.0%,9
Career (3 matches),,19.6%,24.4%,36.3%,22.8%,28.1%,39.8%,54.5%,37.3%,38.5%,16.3%,20.9%,27.8%,28.6%,68.2%,66.7%,30
