Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),440,129,340,1389,365,1312,281,1371,,,426,178,,
2025,406,148,326,1416,354,1346,283,1385,,,370,204
2024,278,242,265,1463,,,219,1444,,,501,125
2023,261,286,259,1426,283,1360,238,1401,201,1378,,
2022,124,515,207,1505,235,1413,178,1475,163,1436,,
2021,166,426,215,1470,188,1475,240,1363,,,,
2020,431,103,,,,,,,,,247,332
2019,317,171,270,1403,241,1409,262,1330,219,1347,236,321
2018,256,211,,,,,,,,,560,51
2017,685,29,,,,,,,,,628,55
2016,608,38,,,,,,,,,732,37
2015,1172,5,,,,,,,,,,
2014,1213,3,,,,,,,,,,
