Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Indian Wells R64,L vs Medvedev,60.8%,45.2%,2.0%,1/0,2.29,11.1%,60.5%,46.2%,0.0%,2.32,17.9%,71.4%,40.0%,14.3%,2.24,0.0%
2026 Rio de Janeiro F,L vs Etcheverry,70.5%,50.0%,3.8%,2/2,2.12,6.0%,65.7%,43.2%,3.0%,1.94,10.2%,88.2%,60.0%,5.9%,2.38,0.0%
2026 Buenos Aires R16,W vs Fonseca,77.5%,48.1%,1.0%,1/0,2.15,1.6%,75.9%,47.7%,0.0%,1.83,2.6%,87.5%,48.6%,2.5%,2.65,0.0%
2025 Athens R16,L vs Djokovic,64.4%,31.6%,0.0%,0/0,2.12,26.7%,48.6%,16.7%,0.0%,2.14,33.3%,90.9%,45.0%,0.0%,2.08,8.3%
2025 Chengdu F,W vs Musetti,66.7%,40.7%,4.9%,1/3,2.18,20.4%,56.0%,32.1%,4.0%,2.18,29.3%,83.9%,50.0%,6.5%,2.19,5.7%
2025 Roland Garros R128,W vs Cazaux,69.2%,47.0%,5.0%,5/1,2.45,3.3%,67.6%,41.3%,7.4%,2.30,6.0%,78.7%,54.1%,2.1%,2.63,0.0%
2025 Monte Carlo R32,W vs Djokovic,82.1%,50.0%,1.8%,1/0,2.14,7.0%,76.7%,43.5%,3.3%,2.13,11.5%,95.8%,56.5%,0.0%,2.15,0.0%
2025 Monte Carlo R64,W vs Wawrinka,77.4%,50.6%,3.5%,1/3,2.35,19.5%,76.5%,50.0%,1.5%,2.26,34.9%,86.0%,51.4%,7.0%,2.46,0.0%
2025 Miami R32,L vs Ruud,61.3%,23.7%,3.2%,0/2,1.87,49.0%,56.4%,22.7%,5.1%,1.90,65.8%,76.2%,25.0%,0.0%,1.77,0.0%
2025 Auckland R16,L vs Basavareddy,68.7%,44.1%,5.1%,4/1,2.10,20.9%,68.2%,40.0%,3.0%,2.02,33.3%,74.2%,52.2%,9.7%,2.24,0.0%
2024 Paris R32,L vs Tsitsipas,60.0%,38.9%,0.0%,0/0,2.17,53.6%,62.9%,36.4%,0.0%,2.24,83.3%,70.0%,42.9%,0.0%,2.05,0.0%
2024 Canada R16,L vs Sinner,60.4%,27.6%,6.3%,2/1,1.92,7.5%,56.0%,14.3%,12.0%,2.03,12.9%,75.0%,40.0%,0.0%,1.75,0.0%
2024 Canada R32,W vs Sonego,62.1%,58.3%,1.7%,1/0,-,18.8%,61.3%,36.8%,0.0%,-,28.6%,81.0%,82.4%,4.8%,-,0.0%
2024 Mallorca F,W vs Ofner,65.4%,50.0%,3.8%,0/2,2.56,8.6%,60.7%,35.3%,0.0%,2.29,21.4%,77.3%,64.7%,9.1%,2.74,0.0%
2024 Rome SF,L vs Zverev,61.7%,44.0%,2.5%,0/2,1.95,5.6%,58.9%,33.3%,0.0%,2.00,11.5%,85.0%,64.7%,10.0%,1.91,0.0%
2024 Rome QF,W vs Zhang,73.3%,47.7%,0.0%,0/0,2.16,16.7%,66.7%,30.0%,0.0%,2.18,28.0%,85.7%,62.5%,0.0%,2.13,0.0%
2024 Rome R16,W vs Khachanov,81.4%,46.8%,2.1%,1/1,2.49,9.3%,77.6%,40.0%,3.4%,2.42,20.8%,91.9%,55.9%,0.0%,2.55,0.0%
2024 Rome R32,W vs Djokovic,59.6%,54.8%,0.0%,0/0,2.41,3.6%,66.7%,44.4%,0.0%,2.35,5.0%,65.0%,69.2%,0.0%,2.56,0.0%
2024 Monte Carlo R32,L vs Ruud,73.6%,30.8%,0.0%,0/0,-,9.3%,69.4%,28.0%,0.0%,-,12.5%,93.3%,35.7%,0.0%,-,0.0%
2024 Miami R128,W vs Nakashima,68.3%,55.4%,6.1%,3/2,2.02,23.0%,63.6%,48.6%,5.5%,1.98,34.1%,80.8%,66.7%,7.7%,2.10,0.0%
Career (31 matches),,70.3%,47.2%,3.2%,50.0%,2.23,16.7%,67.2%,40.4%,2.6%,2.15,26.6%,83.2%,57.3%,4.7%,2.33,1.4%
