Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Indian Wells R64,L vs Medvedev,21.1%,31.6%,44.4%,31.6%,28.2%,43.6%,60.7%,43.6%,78.9%,45.0%,0.0%,5.6%,5.6%,17.6%,-79
2026 Rio de Janeiro F,L vs Etcheverry,22.4%,32.7%,51.8%,29.3%,30.0%,45.7%,57.1%,40.4%,48.1%,51.2%,40.0%,8.1%,8.1%,44.1%,-79
2026 Buenos Aires R16,W vs Fonseca,22.6%,42.9%,58.1%,37.3%,25.5%,54.9%,68.4%,49.6%,59.1%,62.1%,66.7%,20.0%,26.7%,41.7%,-30
2025 Athens R16,L vs Djokovic,25.8%,35.5%,44.4%,32.7%,29.8%,40.4%,42.4%,38.9%,56.5%,58.3%,50.0%,14.3%,21.4%,50.0%,22
2025 Chengdu F,W vs Musetti,22.8%,35.0%,51.6%,31.5%,30.1%,45.8%,56.9%,43.0%,41.7%,51.1%,25.0%,7.9%,13.2%,42.9%,-36
2025 Roland Garros R128,W vs Cazaux,18.8%,29.2%,54.5%,25.6%,25.3%,35.2%,52.9%,36.8%,43.8%,51.2%,33.3%,9.8%,21.3%,56.4%,-31
2025 Monte Carlo R32,W vs Djokovic,23.7%,39.0%,62.8%,34.6%,29.7%,51.4%,73.1%,47.0%,52.9%,70.0%,0.0%,15.0%,20.0%,47.1%,32
2025 Monte Carlo R64,W vs Wawrinka,18.8%,26.7%,49.4%,25.2%,25.9%,37.9%,53.5%,37.1%,39.3%,60.0%,75.0%,10.5%,13.2%,44.1%,-16
2025 Miami R32,L vs Ruud,29.7%,39.2%,54.9%,36.1%,30.9%,43.6%,52.6%,39.5%,50.0%,48.3%,50.0%,27.8%,27.8%,61.5%,1
2025 Auckland R16,L vs Basavareddy,36.1%,48.1%,47.8%,45.0%,42.5%,58.9%,52.4%,55.6%,33.3%,32.4%,12.5%,24.2%,27.3%,40.0%,7
2024 Paris R32,L vs Tsitsipas,35.4%,43.8%,46.4%,41.0%,40.0%,50.0%,50.0%,49.0%,50.0%,33.3%,50.0%,33.3%,40.0%,40.0%,173
2024 Canada R16,L vs Sinner,16.4%,34.3%,50.9%,25.8%,18.4%,42.1%,61.3%,35.0%,53.3%,65.2%,75.0%,15.4%,26.9%,36.4%,-23
2024 Canada R32,W vs Sonego,34.0%,52.0%,62.5%,48.0%,36.4%,60.6%,71.4%,57.6%,46.7%,66.7%,0.0%,31.3%,37.5%,45.5%,10
2024 Mallorca F,W vs Ofner,42.9%,49.2%,48.6%,47.1%,61.1%,69.4%,64.3%,68.6%,55.0%,56.3%,100.0%,19.2%,23.1%,38.1%,-23
2024 Rome SF,L vs Zverev,33.7%,45.3%,53.7%,40.5%,48.0%,64.0%,65.4%,59.6%,26.1%,55.6%,100.0%,15.2%,21.2%,42.9%,35
2024 Rome QF,W vs Zhang,29.7%,48.4%,59.5%,40.5%,37.5%,60.0%,72.0%,54.8%,60.0%,44.0%,100.0%,19.0%,33.3%,41.2%,65
2024 Rome R16,W vs Khachanov,32.1%,45.7%,50.0%,38.3%,48.9%,70.2%,54.2%,59.6%,23.1%,58.8%,-,9.1%,12.1%,46.7%,-35
2024 Rome R32,W vs Djokovic,33.3%,42.9%,64.3%,42.6%,33.3%,43.3%,65.0%,46.3%,44.4%,23.8%,-,33.3%,41.7%,62.5%,-79
2024 Monte Carlo R32,L vs Ruud,11.1%,27.0%,44.4%,22.2%,13.0%,30.4%,45.0%,28.3%,50.0%,66.7%,100.0%,6.7%,20.0%,42.9%,-53
2024 Miami R128,W vs Nakashima,34.7%,44.9%,41.9%,41.6%,42.3%,56.3%,51.2%,51.8%,53.1%,38.5%,50.0%,16.0%,16.0%,23.8%,33
Career (31 matches),,26.8%,39.1%,51.5%,34.9%,33.5%,49.6%,56.3%,46.2%,43.5%,52.7%,53.0%,16.2%,22.3%,44.0%,34
