Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,21,8,13,38.1%,4,2,2,50.0%,2009,2022,R32,21,0.93,3.2%,3.3%,62.3%,60.4%,41.6%,53.3%,43.4%,50.5%,51.2%
Roland Garros,13,Clay,18,5,13,27.8%,8,3,5,37.5%,2010,2022,R32,18,0.95,1.9%,4.5%,64.1%,61.6%,39.9%,53.8%,44.0%,55.5%,43.2%
Wimbledon,11,Grass,24,12,12,50.0%,4,2,2,50.0%,2011,2022,R32,24,0.98,3.0%,4.0%,63.7%,63.7%,45.6%,57.2%,41.8%,59.1%,38.3%
US Open,15,Hard,25,10,15,40.0%,5,3,2,60.0%,2008,2022,R32,23,0.95,3.1%,5.1%,60.8%,63.5%,40.6%,54.5%,43.3%,54.4%,39.1%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2012,2012,R64,1,0.82,4.1%,6.8%,61.6%,55.6%,53.6%,54.8%,37.1%,33.3%,66.7%
Fed Cup,6,,10,5,5,50.0%,0,0,0,-,2010,2016,,1,1.32,1.1%,4.6%,62.1%,74.1%,51.5%,65.5%,45.5%,80.0%,26.7%
Toronto,3,Hard,5,2,3,40.0%,0,0,0,-,2013,2022,Q2,5,1.04,1.5%,7.7%,52.3%,65.3%,45.8%,56.0%,45.6%,51.3%,40.4%
Washington,7,Hard,12,5,7,41.7%,2,0,2,0.0%,2013,2022,QF,12,0.95,4.2%,5.5%,60.7%,63.6%,43.8%,55.8%,41.9%,51.9%,45.3%
Charleston,9,Clay,17,8,9,47.1%,3,3,0,100.0%,2010,2022,QF,17,0.99,2.7%,3.2%,62.6%,62.5%,46.0%,56.3%,43.2%,62.0%,40.7%
Miami,13,Hard,23,10,13,43.5%,8,2,6,25.0%,2009,2022,R32,21,0.99,2.7%,4.1%,63.9%,59.8%,48.7%,55.8%,43.9%,60.1%,43.7%
Indian Wells,11,Hard,24,13,11,54.2%,5,2,3,40.0%,2010,2022,R16,24,1.03,2.9%,4.8%,65.8%,62.6%,43.4%,56.0%,45.4%,51.0%,46.4%
Monterrey,5,Hard,7,2,5,28.6%,3,1,2,33.3%,2011,2022,R16,7,0.98,4.8%,5.0%,60.7%,65.5%,49.7%,59.3%,39.8%,57.4%,38.9%
