Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,247,117,130,47.4%,274-305,47.3%,2608-2736,48.8%,20-30,40.0%,228,60.4%,36.5%,3.4%,4.8%,61.1%,62.8%,43.1%,55.1%,43.3%,49.3%,0.97
Clay,91,36,55,39.6%,92-125,42.4%,992-1101,47.4%,17-13,56.7%,84,57.2%,36.1%,2.6%,4.7%,62.1%,60.3%,44.8%,54.4%,44.2%,49.2%,0.97
Grass,44,16,28,36.4%,43-63,40.6%,501-554,47.5%,5-6,45.5%,44,64.7%,28.4%,3.4%,4.4%,64.6%,64.3%,45.7%,57.7%,39.5%,48.8%,0.93
Carpet,4,2,2,50.0%,4-4,50.0%,38-40,48.7%,0-0,-,4,-,-,3.4%,4.3%,64.5%,62.9%,50.6%,58.5%,40.7%,49.4%,0.98
Grand Slams,68,23,45,33.8%,67-100,40.1%,746-876,46.0%,8-8,50.0%,67,52.9%,30.3%,3.1%,4.2%,61.2%,62.6%,41.7%,54.5%,42.0%,48.2%,0.92
Premiers,121,57,64,47.1%,127-149,46.0%,1237-1328,48.2%,12-11,52.2%,118,62.6%,33.2%,3.6%,4.5%,62.4%,62.8%,44.1%,55.7%,42.6%,49.2%,0.96
Internationals,132,63,69,47.7%,149-166,47.3%,1462-1497,49.4%,15-18,45.5%,119,61.5%,36.9%,3.3%,5.0%,61.4%,63.3%,44.0%,55.9%,43.7%,49.9%,0.99
Finals,2,1,1,50.0%,3-3,50.0%,31-31,50.0%,0-1,0.0%,2,57.1%,46.7%,2.4%,4.9%,61.2%,62.7%,36.3%,52.4%,47.3%,49.8%,0.99
Semi-finals,10,2,8,20.0%,9-18,33.3%,117-142,45.2%,0-2,0.0%,8,56.9%,35.8%,4.4%,5.6%,56.1%,63.2%,42.3%,54.0%,42.4%,48.1%,0.92
Quarter-finals,18,10,8,55.6%,22-21,51.2%,195-193,50.3%,1-3,25.0%,16,64.6%,41.7%,4.0%,4.7%,61.0%,63.9%,42.0%,55.4%,43.9%,49.9%,0.98
vs Righties,356,155,201,43.5%,375-462,44.8%,3785-4102,48.0%,40-44,47.6%,332,59.1%,35.5%,3.1%,4.7%,61.6%,62.0%,43.8%,55.0%,43.1%,49.1%,0.96
vs Lefties,26,13,13,50.0%,31-32,49.2%,296-295,50.1%,1-4,20.0%,25,70.6%,32.1%,4.3%,4.3%,62.8%,66.4%,44.8%,58.3%,42.6%,50.5%,1.02
vs Top 10,41,6,35,14.6%,22-73,23.2%,331-527,38.6%,2-6,25.0%,41,51.4%,26.7%,2.9%,4.7%,62.0%,57.9%,41.3%,51.6%,38.6%,45.3%,0.80
