Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,150,389,183,1575,162,1546,240,1446,219,1413,1019,32,,
2023,273,216,319,1408,311,1371,294,1377,241,1351,,,,
2022,252,212,409,1241,393,1226,,,,,,,,
2021,612,47,,,,,,,,,,,,
2020,549,55,,,,,,,,,1003,24,,
2019,510,56,,,,,,,,,982,24,,
2018,532,8,,,,,,,,,,,,
2017,774,23,,,,,,,,,1032,26,,
2016,373,121,,,,,,,,,1675,6,,
2015,767,29,,,,,,,,,913,39,,
2013,1674,1,,,,,,,,,,,,
